H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
17             16             32             14             27             14             16             16             8              13             13             8              18             12             22             0              
6              12             23             13             18             14             9              -              10             -              15             -              -              13             -              0              
3              9              18             13             30             12             9              -              9              -              -              -              -              -              -              -              
10             15             24             19             21             13             9              -              12             -              -              -              -              -              -              -              
3              17             26             22             24             15             0              -              3              -              -              -              -              -              -              -              
9              9              22             -              33             12             9              -              3              -              -              -              -              -              -              -              
3              21             23             -              20             13             16             -              3              -              -              -              -              -              -              -              
3              21             21             -              14             13             7              -              3              -              -              -              -              -              -              -              
2              18             25             -              33             12             10             -              14             -              -              -              -              -              -              -              
2              14             21             -              21             12             7              -              6              -              -              -              -              -              -              -              
4              2              22             -              26             11             16             -              5              -              -              -              -              -              -              -              
12             19             17             -              24             12             11             -              0              -              -              -              -              -              -              -              
9              20             26             -              21             16             6              -              6              -              -              -              -              -              -              -              
6              15             25             -              28             13             9              -              5              -              -              -              -              -              -              -              
5              15             13             -              14             17             18             -              3              -              -              -              -              -              -              -              
3              19             20             -              20             19             11             -              8              -              -              -              -              -              -              -              
2              -              14             -              29             18             25             -              3              -              -              -              -              -              -              -              
13             -              19             -              17             -              10             -              6              -              -              -              -              -              -              -              
14             -              22             -              22             -              13             -              2              -              -              -              -              -              -              -              
8              -              9              -              24             -              29             -              4              -              -              -              -              -              -              -              
1              -              22             -              24             -              19             -              6              -              -              -              -              -              -              -              
10             -              20             -              30             -              12             -              15             -              -              -              -              -              -              -              
3              -              16             -              21             -              18             -              11             -              -              -              -              -              -              -              
18             -              13             -              20             -              4              -              13             -              -              -              -              -              -              -              
10             -              18             -              24             -              -              -              13             -              -              -              -              -              -              -              
6              -              25             -              24             -              -              -              11             -              -              -              -              -              -              -              
7              -              20             -              20             -              -              -              7              -              -              -              -              -              -              -              
10             -              17             -              23             -              -              -              10             -              -              -              -              -              -              -              
11             -              21             -              19             -              -              -              7              -              -              -              -              -              -              -              
6              -              19             -              17             -              -              -              6              -              -              -              -              -              -              -              
9              -              11             -              23             -              -              -              5              -              -              -              -              -              -              -              
14             -              26             -              22             -              -              -              8              -              -              -              -              -              -              -              
8              -              17             -              23             -              -              -              10             -              -              -              -              -              -              -              
12             -              31             -              19             -              -              -              6              -              -              -              -              -              -              -              
16             -              21             -              16             -              -              -              17             -              -              -              -              -              -              -              
14             -              23             -              14             -              -              -              8              -              -              -              -              -              -              -              
13             -              23             -              20             -              -              -              -              -              -              -              -              -              -              -              
15             -              15             -              21             -              -              -              -              -              -              -              -              -              -              -              
18             -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
