H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
229            154            204            202            224            232            215            167            227            198            195            196            200            202            168            217            
206            159            245            193            202            239            204            -              221            -              188            -              -              206            -              210            
217            148            192            229            189            226            213            -              232            -              -              -              -              -              -              -              
227            161            209            199            202            225            207            -              201            -              -              -              -              -              -              -              
223            151            205            185            182            212            192            -              209            -              -              -              -              -              -              -              
226            212            210            -              190            229            195            -              223            -              -              -              -              -              -              -              
197            188            217            -              144            226            202            -              212            -              -              -              -              -              -              -              
217            180            205            -              178            230            196            -              219            -              -              -              -              -              -              -              
206            171            207            -              178            218            200            -              231            -              -              -              -              -              -              -              
201            149            209            -              167            198            211            -              202            -              -              -              -              -              -              -              
115            179            212            -              171            219            240            -              217            -              -              -              -              -              -              -              
217            218            201            -              207            181            202            -              217            -              -              -              -              -              -              -              
220            203            216            -              172            199            186            -              200            -              -              -              -              -              -              -              
159            195            208            -              189            200            225            -              215            -              -              -              -              -              -              -              
178            173            211            -              191            197            201            -              190            -              -              -              -              -              -              -              
223            167            202            -              148            199            238            -              196            -              -              -              -              -              -              -              
141            -              217            -              209            194            180            -              229            -              -              -              -              -              -              -              
231            -              204            -              186            -              214            -              212            -              -              -              -              -              -              -              
179            -              200            -              126            -              225            -              194            -              -              -              -              -              -              -              
179            -              195            -              179            -              217            -              226            -              -              -              -              -              -              -              
214            -              222            -              88             -              193            -              247            -              -              -              -              -              -              -              
220            -              221            -              167            -              179            -              229            -              -              -              -              -              -              -              
136            -              216            -              176            -              194            -              233            -              -              -              -              -              -              -              
202            -              221            -              192            -              191            -              235            -              -              -              -              -              -              -              
182            -              232            -              175            -              -              -              238            -              -              -              -              -              -              -              
146            -              204            -              106            -              -              -              232            -              -              -              -              -              -              -              
173            -              233            -              165            -              -              -              242            -              -              -              -              -              -              -              
164            -              234            -              209            -              -              -              238            -              -              -              -              -              -              -              
199            -              238            -              198            -              -              -              241            -              -              -              -              -              -              -              
163            -              230            -              187            -              -              -              214            -              -              -              -              -              -              -              
176            -              185            -              90             -              -              -              240            -              -              -              -              -              -              -              
175            -              209            -              194            -              -              -              213            -              -              -              -              -              -              -              
194            -              212            -              168            -              -              -              223            -              -              -              -              -              -              -              
179            -              235            -              194            -              -              -              191            -              -              -              -              -              -              -              
193            -              235            -              182            -              -              -              220            -              -              -              -              -              -              -              
261            -              171            -              176            -              -              -              192            -              -              -              -              -              -              -              
215            -              199            -              170            -              -              -              -              -              -              -              -              -              -              -              
168            -              212            -              204            -              -              -              -              -              -              -              -              -              -              -              
171            -              230            -              -              -              -              -              -              -              -              -              -              -              -              -              
198            -              233            -              -              -              -              -              -              -              -              -              -              -              -              -              
144            -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
180            -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              
168            -              230            -              -              -              -              -              -              -              -              -              -              -              -              -              
181            -              224            -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              
108            -              197            -              -              -              -              -              -              -              -              -              -              -              -              -              
123            -              184            -              -              -              -              -              -              -              -              -              -              -              -              -              
143            -              206            -              -              -              -              -              -              -              -              -              -              -              -              -              
192            -              177            -              -              -              -              -              -              -              -              -              -              -              -              -              
211            -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              
183            -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              
200            -              246            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              202            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              221            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              192            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              227            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              208            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              201            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              172            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              185            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              195            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              198            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
