H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
70             39             37             39             62             61             44             60             33             40             65             41             41             91             41             46             
64             41             42             39             55             63             40             -              30             -              56             -              -              99             -              58             
62             43             43             39             67             63             43             -              37             -              -              -              -              -              -              -              
59             51             44             46             50             60             40             -              37             -              -              -              -              -              -              -              
61             48             43             37             50             58             57             -              41             -              -              -              -              -              -              -              
66             60             42             -              68             59             34             -              43             -              -              -              -              -              -              -              
72             56             42             -              41             62             36             -              49             -              -              -              -              -              -              -              
64             53             41             -              49             56             38             -              39             -              -              -              -              -              -              -              
72             50             41             -              63             64             35             -              42             -              -              -              -              -              -              -              
69             49             41             -              56             59             39             -              42             -              -              -              -              -              -              -              
54             50             41             -              58             66             42             -              39             -              -              -              -              -              -              -              
61             63             39             -              61             65             35             -              42             -              -              -              -              -              -              -              
60             59             43             -              41             41             33             -              40             -              -              -              -              -              -              -              
49             56             43             -              59             42             40             -              39             -              -              -              -              -              -              -              
54             47             28             -              54             54             44             -              34             -              -              -              -              -              -              -              
64             41             39             -              39             59             29             -              32             -              -              -              -              -              -              -              
57             -              55             -              60             52             35             -              35             -              -              -              -              -              -              -              
63             -              41             -              59             -              34             -              33             -              -              -              -              -              -              -              
62             -              44             -              44             -              27             -              36             -              -              -              -              -              -              -              
64             -              33             -              64             -              39             -              30             -              -              -              -              -              -              -              
56             -              37             -              45             -              43             -              42             -              -              -              -              -              -              -              
54             -              38             -              55             -              42             -              38             -              -              -              -              -              -              -              
45             -              39             -              61             -              41             -              27             -              -              -              -              -              -              -              
49             -              41             -              62             -              38             -              30             -              -              -              -              -              -              -              
64             -              48             -              59             -              -              -              30             -              -              -              -              -              -              -              
49             -              41             -              45             -              -              -              30             -              -              -              -              -              -              -              
62             -              47             -              60             -              -              -              34             -              -              -              -              -              -              -              
60             -              49             -              59             -              -              -              30             -              -              -              -              -              -              -              
53             -              50             -              66             -              -              -              33             -              -              -              -              -              -              -              
55             -              49             -              51             -              -              -              28             -              -              -              -              -              -              -              
63             -              41             -              39             -              -              -              31             -              -              -              -              -              -              -              
52             -              41             -              55             -              -              -              34             -              -              -              -              -              -              -              
53             -              39             -              37             -              -              -              31             -              -              -              -              -              -              -              
60             -              45             -              51             -              -              -              23             -              -              -              -              -              -              -              
64             -              51             -              42             -              -              -              25             -              -              -              -              -              -              -              
63             -              51             -              47             -              -              -              28             -              -              -              -              -              -              -              
50             -              39             -              45             -              -              -              -              -              -              -              -              -              -              -              
36             -              35             -              56             -              -              -              -              -              -              -              -              -              -              -              
38             -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              42             -              -              -              -              -              -              -              -              -              -              -              -              -              
32             -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
50             -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
34             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
70             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
76             -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              44             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              42             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              47             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              47             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
