H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
16             10             9              3              12             15             7              16             5              13             12             6              0              16             3              13             
18             11             9              3              11             16             5              -              3              -              4              -              -              18             -              17             
20             10             12             6              18             15             4              -              3              -              -              -              -              -              -              -              
20             11             9              6              15             11             3              -              2              -              -              -              -              -              -              -              
20             13             9              8              13             13             9              -              6              -              -              -              -              -              -              -              
19             14             8              -              18             13             6              -              5              -              -              -              -              -              -              -              
20             12             8              -              13             13             9              -              6              -              -              -              -              -              -              -              
21             13             8              -              15             11             9              -              4              -              -              -              -              -              -              -              
18             13             9              -              18             13             6              -              6              -              -              -              -              -              -              -              
19             12             7              -              19             13             6              -              7              -              -              -              -              -              -              -              
13             9              7              -              14             15             3              -              5              -              -              -              -              -              -              -              
21             17             8              -              15             13             6              -              6              -              -              -              -              -              -              -              
18             18             9              -              13             16             6              -              6              -              -              -              -              -              -              -              
13             17             7              -              18             17             5              -              5              -              -              -              -              -              -              -              
15             10             4              -              14             9              6              -              4              -              -              -              -              -              -              -              
22             11             9              -              13             14             3              -              5              -              -              -              -              -              -              -              
10             -              16             -              16             11             3              -              5              -              -              -              -              -              -              -              
20             -              9              -              14             -              3              -              4              -              -              -              -              -              -              -              
11             -              9              -              7              -              1              -              5              -              -              -              -              -              -              -              
16             -              8              -              16             -              9              -              1              -              -              -              -              -              -              -              
11             -              8              -              9              -              6              -              3              -              -              -              -              -              -              -              
15             -              9              -              16             -              7              -              4              -              -              -              -              -              -              -              
16             -              11             -              16             -              6              -              0              -              -              -              -              -              -              -              
13             -              10             -              15             -              5              -              2              -              -              -              -              -              -              -              
14             -              9              -              16             -              -              -              0              -              -              -              -              -              -              -              
17             -              8              -              8              -              -              -              2              -              -              -              -              -              -              -              
15             -              9              -              14             -              -              -              6              -              -              -              -              -              -              -              
19             -              9              -              12             -              -              -              2              -              -              -              -              -              -              -              
15             -              9              -              16             -              -              -              5              -              -              -              -              -              -              -              
15             -              9              -              13             -              -              -              0              -              -              -              -              -              -              -              
19             -              10             -              8              -              -              -              5              -              -              -              -              -              -              -              
12             -              10             -              16             -              -              -              4              -              -              -              -              -              -              -              
18             -              9              -              10             -              -              -              3              -              -              -              -              -              -              -              
13             -              6              -              12             -              -              -              2              -              -              -              -              -              -              -              
23             -              9              -              8              -              -              -              1              -              -              -              -              -              -              -              
14             -              15             -              10             -              -              -              2              -              -              -              -              -              -              -              
13             -              9              -              13             -              -              -              -              -              -              -              -              -              -              -              
12             -              9              -              16             -              -              -              -              -              -              -              -              -              -              -              
11             -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
