H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
721            549            583            617            675            652            546            631            627            542            673            596            594            675            563            646            
672            570            694            604            609            650            553            -              647            -              639            -              -              689            -              665            
661            547            580            633            662            649            561            -              651            -              -              -              -              -              -              -              
670            575            610            611            582            650            563            -              591            -              -              -              -              -              -              -              
687            580            618            580            572            617            546            -              635            -              -              -              -              -              -              -              
719            666            599            -              646            659            570            -              637            -              -              -              -              -              -              -              
652            614            631            -              538            646            602            -              636            -              -              -              -              -              -              -              
661            617            615            -              637            639            583            -              624            -              -              -              -              -              -              -              
666            586            615            -              634            635            561            -              631            -              -              -              -              -              -              -              
646            568            616            -              599            581            603            -              568            -              -              -              -              -              -              -              
622            598            621            -              568            659            642            -              605            -              -              -              -              -              -              -              
680            706            610            -              584            652            593            -              563            -              -              -              -              -              -              -              
657            684            634            -              511            649            576            -              532            -              -              -              -              -              -              -              
487            644            627            -              575            655            607            -              584            -              -              -              -              -              -              -              
644            586            592            -              576            637            567            -              543            -              -              -              -              -              -              -              
668            631            600            -              499            634            600            -              556            -              -              -              -              -              -              -              
617            -              593            -              627            611            538            -              606            -              -              -              -              -              -              -              
667            -              627            -              615            -              597            -              562            -              -              -              -              -              -              -              
621            -              601            -              438            -              621            -              537            -              -              -              -              -              -              -              
633            -              598            -              646            -              602            -              573            -              -              -              -              -              -              -              
650            -              616            -              535            -              581            -              663            -              -              -              -              -              -              -              
640            -              605            -              619            -              556            -              625            -              -              -              -              -              -              -              
504            -              629            -              626            -              594            -              622            -              -              -              -              -              -              -              
580            -              639            -              662            -              595            -              630            -              -              -              -              -              -              -              
618            -              643            -              631            -              -              -              640            -              -              -              -              -              -              -              
563            -              618            -              535            -              -              -              634            -              -              -              -              -              -              -              
597            -              642            -              617            -              -              -              641            -              -              -              -              -              -              -              
538            -              632            -              667            -              -              -              627            -              -              -              -              -              -              -              
632            -              658            -              647            -              -              -              654            -              -              -              -              -              -              -              
570            -              635            -              593            -              -              -              597            -              -              -              -              -              -              -              
611            -              600            -              524            -              -              -              619            -              -              -              -              -              -              -              
580            -              596            -              646            -              -              -              600            -              -              -              -              -              -              -              
660            -              587            -              531            -              -              -              584            -              -              -              -              -              -              -              
616            -              661            -              648            -              -              -              548            -              -              -              -              -              -              -              
578            -              644            -              640            -              -              -              590            -              -              -              -              -              -              -              
723            -              536            -              574            -              -              -              543            -              -              -              -              -              -              -              
695            -              605            -              609            -              -              -              -              -              -              -              -              -              -              -              
549            -              634            -              616            -              -              -              -              -              -              -              -              -              -              -              
558            -              642            -              -              -              -              -              -              -              -              -              -              -              -              -              
625            -              661            -              -              -              -              -              -              -              -              -              -              -              -              -              
438            -              597            -              -              -              -              -              -              -              -              -              -              -              -              -              
562            -              622            -              -              -              -              -              -              -              -              -              -              -              -              -              
548            -              641            -              -              -              -              -              -              -              -              -              -              -              -              -              
618            -              670            -              -              -              -              -              -              -              -              -              -              -              -              -              
417            -              568            -              -              -              -              -              -              -              -              -              -              -              -              -              
430            -              584            -              -              -              -              -              -              -              -              -              -              -              -              -              
489            -              594            -              -              -              -              -              -              -              -              -              -              -              -              -              
505            -              611            -              -              -              -              -              -              -              -              -              -              -              -              -              
627            -              584            -              -              -              -              -              -              -              -              -              -              -              -              -              
665            -              637            -              -              -              -              -              -              -              -              -              -              -              -              -              
642            -              636            -              -              -              -              -              -              -              -              -              -              -              -              -              
607            -              691            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              620            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              610            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              604            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              620            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              634            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              641            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              640            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              605            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              641            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              643            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              606            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              611            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              601            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              570            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              534            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              570            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              605            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              588            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
