H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
54             29             28             36             50             46             37             44             28             27             53             35             41             75             38             33             
46             30             33             36             44             47             35             -              27             -              52             -              -              81             -              41             
42             33             31             33             49             48             39             -              34             -              -              -              -              -              -              -              
39             40             35             40             35             49             37             -              35             -              -              -              -              -              -              -              
41             35             34             29             37             45             48             -              35             -              -              -              -              -              -              -              
47             46             34             -              50             46             28             -              38             -              -              -              -              -              -              -              
52             44             34             -              28             49             27             -              43             -              -              -              -              -              -              -              
43             40             33             -              34             45             29             -              35             -              -              -              -              -              -              -              
54             37             32             -              45             51             29             -              36             -              -              -              -              -              -              -              
50             37             34             -              37             46             33             -              35             -              -              -              -              -              -              -              
41             41             34             -              44             51             39             -              34             -              -              -              -              -              -              -              
40             46             31             -              46             52             29             -              36             -              -              -              -              -              -              -              
42             41             34             -              28             25             27             -              34             -              -              -              -              -              -              -              
36             39             36             -              41             25             35             -              34             -              -              -              -              -              -              -              
39             37             24             -              40             45             38             -              30             -              -              -              -              -              -              -              
42             30             30             -              26             45             26             -              27             -              -              -              -              -              -              -              
47             -              39             -              44             41             32             -              30             -              -              -              -              -              -              -              
43             -              32             -              45             -              31             -              29             -              -              -              -              -              -              -              
51             -              35             -              37             -              26             -              31             -              -              -              -              -              -              -              
48             -              25             -              48             -              30             -              29             -              -              -              -              -              -              -              
45             -              29             -              36             -              37             -              39             -              -              -              -              -              -              -              
39             -              29             -              39             -              35             -              34             -              -              -              -              -              -              -              
29             -              28             -              45             -              35             -              27             -              -              -              -              -              -              -              
36             -              31             -              47             -              33             -              28             -              -              -              -              -              -              -              
50             -              39             -              43             -              -              -              30             -              -              -              -              -              -              -              
32             -              33             -              37             -              -              -              28             -              -              -              -              -              -              -              
47             -              38             -              46             -              -              -              28             -              -              -              -              -              -              -              
41             -              40             -              47             -              -              -              28             -              -              -              -              -              -              -              
38             -              41             -              50             -              -              -              28             -              -              -              -              -              -              -              
40             -              40             -              38             -              -              -              28             -              -              -              -              -              -              -              
44             -              31             -              31             -              -              -              26             -              -              -              -              -              -              -              
40             -              31             -              39             -              -              -              30             -              -              -              -              -              -              -              
35             -              30             -              27             -              -              -              28             -              -              -              -              -              -              -              
47             -              39             -              39             -              -              -              21             -              -              -              -              -              -              -              
41             -              42             -              34             -              -              -              24             -              -              -              -              -              -              -              
49             -              36             -              37             -              -              -              26             -              -              -              -              -              -              -              
37             -              30             -              32             -              -              -              -              -              -              -              -              -              -              -              
24             -              26             -              40             -              -              -              -              -              -              -              -              -              -              -              
27             -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
58             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
40             -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
