H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
106            87             136            128            108            100            66             95             97             96             88             123            50             102            96             106            
77             80             133            131            70             102            67             -              108            -              87             -              -              101            -              111            
92             81             126            112            98             103            71             -              110            -              -              -              -              -              -              -              
93             82             132            156            81             94             58             -              89             -              -              -              -              -              -              -              
94             77             139            158            87             94             42             -              103            -              -              -              -              -              -              -              
104            100            118            -              95             78             52             -              96             -              -              -              -              -              -              -              
88             79             129            -              67             96             58             -              98             -              -              -              -              -              -              -              
91             91             131            -              101            92             45             -              113            -              -              -              -              -              -              -              
85             76             134            -              97             81             57             -              117            -              -              -              -              -              -              -              
94             78             122            -              84             92             59             -              104            -              -              -              -              -              -              -              
111            83             133            -              80             94             63             -              112            -              -              -              -              -              -              -              
92             75             122            -              94             91             60             -              103            -              -              -              -              -              -              -              
88             80             135            -              73             90             69             -              96             -              -              -              -              -              -              -              
89             81             135            -              88             98             61             -              109            -              -              -              -              -              -              -              
87             73             129            -              94             73             60             -              104            -              -              -              -              -              -              -              
91             75             124            -              72             82             56             -              121            -              -              -              -              -              -              -              
92             -              115            -              94             75             61             -              105            -              -              -              -              -              -              -              
102            -              133            -              89             -              60             -              95             -              -              -              -              -              -              -              
107            -              136            -              78             -              61             -              101            -              -              -              -              -              -              -              
98             -              124            -              101            -              71             -              98             -              -              -              -              -              -              -              
86             -              145            -              111            -              72             -              102            -              -              -              -              -              -              -              
92             -              148            -              91             -              57             -              106            -              -              -              -              -              -              -              
77             -              128            -              103            -              74             -              101            -              -              -              -              -              -              -              
72             -              124            -              104            -              67             -              97             -              -              -              -              -              -              -              
100            -              153            -              87             -              -              -              108            -              -              -              -              -              -              -              
86             -              138            -              109            -              -              -              101            -              -              -              -              -              -              -              
112            -              157            -              113            -              -              -              104            -              -              -              -              -              -              -              
98             -              151            -              106            -              -              -              103            -              -              -              -              -              -              -              
84             -              151            -              84             -              -              -              106            -              -              -              -              -              -              -              
90             -              158            -              89             -              -              -              87             -              -              -              -              -              -              -              
98             -              127            -              102            -              -              -              101            -              -              -              -              -              -              -              
102            -              136            -              98             -              -              -              88             -              -              -              -              -              -              -              
94             -              122            -              94             -              -              -              93             -              -              -              -              -              -              -              
103            -              166            -              107            -              -              -              84             -              -              -              -              -              -              -              
106            -              154            -              117            -              -              -              94             -              -              -              -              -              -              -              
106            -              122            -              92             -              -              -              75             -              -              -              -              -              -              -              
97             -              136            -              91             -              -              -              -              -              -              -              -              -              -              -              
72             -              127            -              88             -              -              -              -              -              -              -              -              -              -              -              
81             -              144            -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              169            -              -              -              -              -              -              -              -              -              -              -              -              -              
84             -              116            -              -              -              -              -              -              -              -              -              -              -              -              -              
90             -              127            -              -              -              -              -              -              -              -              -              -              -              -              -              
75             -              159            -              -              -              -              -              -              -              -              -              -              -              -              -              
90             -              146            -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              130            -              -              -              -              -              -              -              -              -              -              -              -              -              
51             -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              119            -              -              -              -              -              -              -              -              -              -              -              -              -              
56             -              109            -              -              -              -              -              -              -              -              -              -              -              -              -              
104            -              117            -              -              -              -              -              -              -              -              -              -              -              -              -              
112            -              125            -              -              -              -              -              -              -              -              -              -              -              -              -              
118            -              139            -              -              -              -              -              -              -              -              -              -              -              -              -              
70             -              146            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              128            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              106            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              103            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              132            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              115            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              116            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              137            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              135            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              125            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              116            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              127            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              117            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              119            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              117            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
