H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
6              4              15             12             9              2              8              13             2              6              4              6              6              3              3              0              
1              1              13             11             7              3              4              -              4              -              6              -              -              4              -              0              
0              3              13             9              9              1              7              -              4              -              -              -              -              -              -              -              
2              8              14             9              9              2              2              -              5              -              -              -              -              -              -              -              
0              6              18             14             9              4              0              -              0              -              -              -              -              -              -              -              
5              4              12             -              9              0              3              -              0              -              -              -              -              -              -              -              
0              8              13             -              12             2              6              -              0              -              -              -              -              -              -              -              
0              9              13             -              8              1              4              -              0              -              -              -              -              -              -              -              
0              8              17             -              9              0              3              -              6              -              -              -              -              -              -              -              
0              7              12             -              6              3              5              -              0              -              -              -              -              -              -              -              
2              2              14             -              9              3              6              -              1              -              -              -              -              -              -              -              
4              8              11             -              10             0              7              -              0              -              -              -              -              -              -              -              
2              7              18             -              9              2              3              -              0              -              -              -              -              -              -              -              
4              6              15             -              7              2              5              -              2              -              -              -              -              -              -              -              
2              7              12             -              4              3              6              -              0              -              -              -              -              -              -              -              
0              7              14             -              8              5              4              -              4              -              -              -              -              -              -              -              
1              -              7              -              11             5              9              -              0              -              -              -              -              -              -              -              
5              -              11             -              5              -              4              -              0              -              -              -              -              -              -              -              
6              -              13             -              9              -              0              -              0              -              -              -              -              -              -              -              
2              -              9              -              8              -              9              -              0              -              -              -              -              -              -              -              
0              -              12             -              6              -              9              -              1              -              -              -              -              -              -              -              
4              -              13             -              9              -              4              -              7              -              -              -              -              -              -              -              
0              -              10             -              6              -              11             -              2              -              -              -              -              -              -              -              
6              -              9              -              6              -              3              -              2              -              -              -              -              -              -              -              
5              -              14             -              9              -              -              -              2              -              -              -              -              -              -              -              
2              -              16             -              7              -              -              -              2              -              -              -              -              -              -              -              
3              -              14             -              6              -              -              -              3              -              -              -              -              -              -              -              
4              -              12             -              6              -              -              -              1              -              -              -              -              -              -              -              
3              -              16             -              8              -              -              -              4              -              -              -              -              -              -              -              
3              -              13             -              8              -              -              -              3              -              -              -              -              -              -              -              
3              -              9              -              6              -              -              -              2              -              -              -              -              -              -              -              
5              -              18             -              9              -              -              -              3              -              -              -              -              -              -              -              
3              -              14             -              8              -              -              -              1              -              -              -              -              -              -              -              
5              -              22             -              5              -              -              -              2              -              -              -              -              -              -              -              
6              -              16             -              5              -              -              -              0              -              -              -              -              -              -              -              
2              -              8              -              3              -              -              -              3              -              -              -              -              -              -              -              
5              -              12             -              9              -              -              -              -              -              -              -              -              -              -              -              
3              -              11             -              5              -              -              -              -              -              -              -              -              -              -              -              
6              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
2              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
