H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
158            134            183            188            160            162            145            122            154            143            139            185            121            162            155            169            
126            123            200            183            115            160            143            -              161            -              132            -              -              166            -              169            
155            124            176            173            138            159            154            -              174            -              -              -              -              -              -              -              
144            115            195            207            128            154            127            -              128            -              -              -              -              -              -              -              
159            109            194            200            129            157            126            -              160            -              -              -              -              -              -              -              
158            158            181            -              142            151            127            -              161            -              -              -              -              -              -              -              
139            125            189            -              96             154            119            -              158            -              -              -              -              -              -              -              
151            125            194            -              148            151            112            -              180            -              -              -              -              -              -              -              
138            114            189            -              142            138            137            -              176            -              -              -              -              -              -              -              
150            114            189            -              123            147            136            -              170            -              -              -              -              -              -              -              
142            124            192            -              135            150            142            -              179            -              -              -              -              -              -              -              
141            120            174            -              151            146            129            -              173            -              -              -              -              -              -              -              
136            122            191            -              112            140            141            -              156            -              -              -              -              -              -              -              
124            127            193            -              149            149            132            -              169            -              -              -              -              -              -              -              
129            121            171            -              140            124            123            -              175            -              -              -              -              -              -              -              
155            112            180            -              110            129            119            -              182            -              -              -              -              -              -              -              
130            -              185            -              139            128            121            -              174            -              -              -              -              -              -              -              
167            -              197            -              135            -              141            -              157            -              -              -              -              -              -              -              
163            -              198            -              116            -              127            -              168            -              -              -              -              -              -              -              
143            -              170            -              144            -              132            -              171            -              -              -              -              -              -              -              
141            -              196            -              135            -              131            -              169            -              -              -              -              -              -              -              
153            -              207            -              130            -              116            -              169            -              -              -              -              -              -              -              
119            -              187            -              153            -              124            -              167            -              -              -              -              -              -              -              
120            -              187            -              148            -              133            -              166            -              -              -              -              -              -              -              
151            -              215            -              133            -              -              -              174            -              -              -              -              -              -              -              
127            -              194            -              139            -              -              -              174            -              -              -              -              -              -              -              
157            -              219            -              157            -              -              -              175            -              -              -              -              -              -              -              
149            -              215            -              160            -              -              -              173            -              -              -              -              -              -              -              
130            -              218            -              133            -              -              -              177            -              -              -              -              -              -              -              
139            -              222            -              139            -              -              -              153            -              -              -              -              -              -              -              
150            -              178            -              122            -              -              -              169            -              -              -              -              -              -              -              
154            -              181            -              153            -              -              -              131            -              -              -              -              -              -              -              
146            -              177            -              140            -              -              -              162            -              -              -              -              -              -              -              
156            -              213            -              151            -              -              -              136            -              -              -              -              -              -              -              
169            -              222            -              163            -              -              -              156            -              -              -              -              -              -              -              
183            -              183            -              139            -              -              -              137            -              -              -              -              -              -              -              
150            -              194            -              138            -              -              -              -              -              -              -              -              -              -              -              
105            -              177            -              138            -              -              -              -              -              -              -              -              -              -              -              
111            -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              
156            -              219            -              -              -              -              -              -              -              -              -              -              -              -              -              
132            -              175            -              -              -              -              -              -              -              -              -              -              -              -              -              
126            -              179            -              -              -              -              -              -              -              -              -              -              -              -              -              
111            -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
137            -              213            -              -              -              -              -              -              -              -              -              -              -              -              -              
84             -              178            -              -              -              -              -              -              -              -              -              -              -              -              -              
87             -              161            -              -              -              -              -              -              -              -              -              -              -              -              -              
81             -              181            -              -              -              -              -              -              -              -              -              -              -              -              -              
96             -              170            -              -              -              -              -              -              -              -              -              -              -              -              -              
168            -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              
170            -              197            -              -              -              -              -              -              -              -              -              -              -              -              -              
166            -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              
122            -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              171            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              156            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              160            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              182            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              189            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              177            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              167            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              178            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              204            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              179            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              198            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              170            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              184            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              164            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              174            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              168            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              164            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
