H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
11             5              12             20             6              8              27             3              8              0              12             20             18             21             9              5              
7              6              15             18             8              8              25             -              12             -              9              -              -              22             -              5              
14             7              17             18             3              8              27             -              13             -              -              -              -              -              -              -              
9              5              17             19             5              9              21             -              8              -              -              -              -              -              -              -              
13             4              16             13             4              7              21             -              9              -              -              -              -              -              -              -              
12             8              15             -              3              10             27             -              9              -              -              -              -              -              -              -              
10             7              18             -              6              8              24             -              8              -              -              -              -              -              -              -              
11             3              17             -              5              9              26             -              14             -              -              -              -              -              -              -              
11             4              17             -              3              9              30             -              14             -              -              -              -              -              -              -              
10             5              21             -              7              7              27             -              14             -              -              -              -              -              -              -              
9              6              16             -              10             8              23             -              11             -              -              -              -              -              -              -              
10             8              15             -              6              9              19             -              9              -              -              -              -              -              -              -              
9              7              17             -              5              4              27             -              10             -              -              -              -              -              -              -              
7              6              19             -              8              6              17             -              8              -              -              -              -              -              -              -              
12             9              5              -              7              10             16             -              11             -              -              -              -              -              -              -              
13             9              16             -              8              10             21             -              16             -              -              -              -              -              -              -              
9              -              20             -              9              10             17             -              15             -              -              -              -              -              -              -              
11             -              18             -              3              -              25             -              7              -              -              -              -              -              -              -              
12             -              17             -              5              -              24             -              14             -              -              -              -              -              -              -              
10             -              9              -              6              -              22             -              14             -              -              -              -              -              -              -              
12             -              9              -              6              -              15             -              9              -              -              -              -              -              -              -              
7              -              12             -              5              -              22             -              11             -              -              -              -              -              -              -              
6              -              15             -              6              -              20             -              11             -              -              -              -              -              -              -              
3              -              14             -              6              -              27             -              11             -              -              -              -              -              -              -              
10             -              15             -              9              -              -              -              10             -              -              -              -              -              -              -              
8              -              15             -              9              -              -              -              11             -              -              -              -              -              -              -              
9              -              15             -              8              -              -              -              12             -              -              -              -              -              -              -              
7              -              15             -              10             -              -              -              13             -              -              -              -              -              -              -              
8              -              18             -              5              -              -              -              13             -              -              -              -              -              -              -              
7              -              17             -              4              -              -              -              12             -              -              -              -              -              -              -              
8              -              16             -              6              -              -              -              7              -              -              -              -              -              -              -              
11             -              15             -              14             -              -              -              10             -              -              -              -              -              -              -              
8              -              15             -              7              -              -              -              10             -              -              -              -              -              -              -              
10             -              16             -              3              -              -              -              7              -              -              -              -              -              -              -              
18             -              18             -              6              -              -              -              7              -              -              -              -              -              -              -              
14             -              21             -              3              -              -              -              11             -              -              -              -              -              -              -              
8              -              18             -              8              -              -              -              -              -              -              -              -              -              -              -              
3              -              15             -              10             -              -              -              -              -              -              -              -              -              -              -              
3              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
