H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
176            150            214            230            179            172            160            151            182            149            149            210            130            173            166            179            
140            136            228            217            137            169            156            -              188            -              143            -              -              178            -              179            
168            142            207            204            148            166            168            -              202            -              -              -              -              -              -              -              
163            136            224            230            150            163            137            -              156            -              -              -              -              -              -              -              
174            129            227            239            153            173            129            -              180            -              -              -              -              -              -              -              
173            167            208            -              151            163            133            -              178            -              -              -              -              -              -              -              
145            144            217            -              117            163            133            -              180            -              -              -              -              -              -              -              
164            147            222            -              166            160            119            -              203            -              -              -              -              -              -              -              
144            135            221            -              151            146            143            -              204            -              -              -              -              -              -              -              
156            135            216            -              129            160            152            -              195            -              -              -              -              -              -              -              
150            137            221            -              149            158            154            -              203            -              -              -              -              -              -              -              
159            137            200            -              171            153            141            -              197            -              -              -              -              -              -              -              
149            139            224            -              128            145            156            -              178            -              -              -              -              -              -              -              
139            144            223            -              167            154            145            -              196            -              -              -              -              -              -              -              
140            138            201            -              146            137            133            -              200            -              -              -              -              -              -              -              
169            135            209            -              125            144            133            -              206            -              -              -              -              -              -              -              
137            -              211            -              160            141            138            -              199            -              -              -              -              -              -              -              
179            -              223            -              142            -              156            -              182            -              -              -              -              -              -              -              
176            -              226            -              133            -              134            -              188            -              -              -              -              -              -              -              
153            -              194            -              161            -              153            -              179            -              -              -              -              -              -              -              
147            -              224            -              147            -              147            -              199            -              -              -              -              -              -              -              
163            -              237            -              143            -              126            -              199            -              -              -              -              -              -              -              
134            -              213            -              168            -              143            -              192            -              -              -              -              -              -              -              
139            -              210            -              164            -              145            -              191            -              -              -              -              -              -              -              
162            -              247            -              152            -              -              -              202            -              -              -              -              -              -              -              
141            -              225            -              154            -              -              -              199            -              -              -              -              -              -              -              
166            -              251            -              172            -              -              -              202            -              -              -              -              -              -              -              
167            -              249            -              179            -              -              -              196            -              -              -              -              -              -              -              
144            -              256            -              154            -              -              -              205            -              -              -              -              -              -              -              
151            -              254            -              155            -              -              -              184            -              -              -              -              -              -              -              
166            -              202            -              134            -              -              -              194            -              -              -              -              -              -              -              
173            -              217            -              174            -              -              -              152            -              -              -              -              -              -              -              
157            -              209            -              151            -              -              -              182            -              -              -              -              -              -              -              
167            -              255            -              167            -              -              -              159            -              -              -              -              -              -              -              
190            -              258            -              185            -              -              -              180            -              -              -              -              -              -              -              
203            -              207            -              148            -              -              -              159            -              -              -              -              -              -              -              
167            -              222            -              156            -              -              -              -              -              -              -              -              -              -              -              
117            -              203            -              150            -              -              -              -              -              -              -              -              -              -              -              
131            -              234            -              -              -              -              -              -              -              -              -              -              -              -              -              
175            -              258            -              -              -              -              -              -              -              -              -              -              -              -              -              
153            -              208            -              -              -              -              -              -              -              -              -              -              -              -              -              
135            -              210            -              -              -              -              -              -              -              -              -              -              -              -              -              
121            -              251            -              -              -              -              -              -              -              -              -              -              -              -              -              
157            -              242            -              -              -              -              -              -              -              -              -              -              -              -              -              
96             -              204            -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              185            -              -              -              -              -              -              -              -              -              -              -              -              -              
90             -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
106            -              187            -              -              -              -              -              -              -              -              -              -              -              -              -              
176            -              195            -              -              -              -              -              -              -              -              -              -              -              -              -              
182            -              218            -              -              -              -              -              -              -              -              -              -              -              -              -              
179            -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              
129            -              244            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              205            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              176            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              183            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              221            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              219            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              201            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              195            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              202            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              237            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              217            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              227            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              210            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              201            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              212            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
