H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
156            163            173            151            179            168            142            141            93             125            142            134            105            162            167            152            
201            185            171            131            224            151            126            -              117            -              133            -              -              156            -              184            
189            160            156            143            176            167            137            -              116            -              -              -              -              -              -              -              
201            177            165            139            194            149            123            -              120            -              -              -              -              -              -              -              
186            178            166            149            190            134            190            -              109            -              -              -              -              -              -              -              
211            164            158            -              179            142            106            -              114            -              -              -              -              -              -              -              
190            169            168            -              173            146            93             -              111            -              -              -              -              -              -              -              
174            167            147            -              156            171            115            -              112            -              -              -              -              -              -              -              
194            179            156            -              178            149            105            -              122            -              -              -              -              -              -              -              
181            223            157            -              192            162            119            -              111            -              -              -              -              -              -              -              
121            168            159            -              119            159            131            -              107            -              -              -              -              -              -              -              
186            184            148            -              148            179            130            -              128            -              -              -              -              -              -              -              
180            177            153            -              127            112            123            -              114            -              -              -              -              -              -              -              
188            153            163            -              110            129            123            -              106            -              -              -              -              -              -              -              
174            229            142            -              143            152            105            -              113            -              -              -              -              -              -              -              
183            135            156            -              111            148            121            -              128            -              -              -              -              -              -              -              
164            -              176            -              156            145            111            -              121            -              -              -              -              -              -              -              
220            -              153            -              156            -              119            -              113            -              -              -              -              -              -              -              
187            -              157            -              146            -              128            -              125            -              -              -              -              -              -              -              
154            -              151            -              186            -              118            -              113            -              -              -              -              -              -              -              
150            -              154            -              90             -              139            -              110            -              -              -              -              -              -              -              
184            -              168            -              164            -              114            -              96             -              -              -              -              -              -              -              
164            -              166            -              160            -              119            -              129            -              -              -              -              -              -              -              
179            -              164            -              160            -              130            -              123            -              -              -              -              -              -              -              
156            -              174            -              160            -              -              -              135            -              -              -              -              -              -              -              
174            -              146            -              127            -              -              -              136            -              -              -              -              -              -              -              
147            -              169            -              170            -              -              -              116            -              -              -              -              -              -              -              
176            -              170            -              177            -              -              -              132            -              -              -              -              -              -              -              
193            -              155            -              171            -              -              -              112            -              -              -              -              -              -              -              
191            -              174            -              108            -              -              -              129            -              -              -              -              -              -              -              
181            -              116            -              96             -              -              -              110            -              -              -              -              -              -              -              
200            -              165            -              164            -              -              -              112            -              -              -              -              -              -              -              
148            -              167            -              168            -              -              -              115            -              -              -              -              -              -              -              
137            -              175            -              173            -              -              -              112            -              -              -              -              -              -              -              
181            -              179            -              124            -              -              -              110            -              -              -              -              -              -              -              
193            -              180            -              181            -              -              -              114            -              -              -              -              -              -              -              
133            -              147            -              162            -              -              -              -              -              -              -              -              -              -              -              
78             -              173            -              139            -              -              -              -              -              -              -              -              -              -              -              
70             -              176            -              -              -              -              -              -              -              -              -              -              -              -              -              
176            -              179            -              -              -              -              -              -              -              -              -              -              -              -              -              
101            -              167            -              -              -              -              -              -              -              -              -              -              -              -              -              
78             -              160            -              -              -              -              -              -              -              -              -              -              -              -              -              
73             -              157            -              -              -              -              -              -              -              -              -              -              -              -              -              
157            -              171            -              -              -              -              -              -              -              -              -              -              -              -              -              
97             -              123            -              -              -              -              -              -              -              -              -              -              -              -              -              
102            -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              
81             -              144            -              -              -              -              -              -              -              -              -              -              -              -              -              
73             -              146            -              -              -              -              -              -              -              -              -              -              -              -              -              
174            -              112            -              -              -              -              -              -              -              -              -              -              -              -              -              
163            -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
195            -              167            -              -              -              -              -              -              -              -              -              -              -              -              -              
148            -              175            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              158            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              148            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              164            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              126            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              163            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              151            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              189            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              190            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              174            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              159            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              150            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              156            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              143            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              133            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              168            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              159            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              157            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
