H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
127            126            143            153            140            126            118            95             102            73             80             99             83             71             96             115            
126            131            190            147            133            129            107            -              121            -              80             -              -              68             -              116            
124            120            159            160            132            125            119            -              97             -              -              -              -              -              -              -              
104            127            169            174            114            127            117            -              95             -              -              -              -              -              -              -              
126            131            169            146            121            105            24             -              124            -              -              -              -              -              -              -              
138            108            165            -              122            112            78             -              124            -              -              -              -              -              -              -              
111            138            160            -              111            108            97             -              126            -              -              -              -              -              -              -              
122            125            167            -              123            123            92             -              118            -              -              -              -              -              -              -              
122            100            178            -              125            110            89             -              128            -              -              -              -              -              -              -              
108            157            170            -              127            108            80             -              102            -              -              -              -              -              -              -              
104            97             167            -              127            107            108            -              102            -              -              -              -              -              -              -              
114            140            153            -              88             124            90             -              115            -              -              -              -              -              -              -              
98             140            166            -              120            84             75             -              107            -              -              -              -              -              -              -              
120            122            173            -              89             88             77             -              111            -              -              -              -              -              -              -              
118            125            135            -              99             106            86             -              100            -              -              -              -              -              -              -              
123            110            168            -              93             113            96             -              106            -              -              -              -              -              -              -              
115            -              169            -              101            99             61             -              97             -              -              -              -              -              -              -              
127            -              170            -              120            -              115            -              116            -              -              -              -              -              -              -              
106            -              165            -              111            -              94             -              111            -              -              -              -              -              -              -              
100            -              120            -              123            -              109            -              31             -              -              -              -              -              -              -              
109            -              161            -              71             -              75             -              102            -              -              -              -              -              -              -              
107            -              181            -              115            -              75             -              97             -              -              -              -              -              -              -              
113            -              169            -              125            -              82             -              116            -              -              -              -              -              -              -              
97             -              167            -              123            -              111            -              114            -              -              -              -              -              -              -              
102            -              167            -              99             -              -              -              119            -              -              -              -              -              -              -              
106            -              170            -              86             -              -              -              117            -              -              -              -              -              -              -              
88             -              170            -              110            -              -              -              123            -              -              -              -              -              -              -              
130            -              168            -              140            -              -              -              103            -              -              -              -              -              -              -              
102            -              165            -              108            -              -              -              126            -              -              -              -              -              -              -              
119            -              166            -              61             -              -              -              107            -              -              -              -              -              -              -              
121            -              122            -              74             -              -              -              111            -              -              -              -              -              -              -              
106            -              166            -              113            -              -              -              113            -              -              -              -              -              -              -              
80             -              170            -              109            -              -              -              105            -              -              -              -              -              -              -              
85             -              160            -              119            -              -              -              141            -              -              -              -              -              -              -              
78             -              170            -              100            -              -              -              109            -              -              -              -              -              -              -              
113            -              165            -              106            -              -              -              99             -              -              -              -              -              -              -              
101            -              171            -              120            -              -              -              -              -              -              -              -              -              -              -              
68             -              173            -              110            -              -              -              -              -              -              -              -              -              -              -              
65             -              172            -              -              -              -              -              -              -              -              -              -              -              -              -              
118            -              164            -              -              -              -              -              -              -              -              -              -              -              -              -              
82             -              149            -              -              -              -              -              -              -              -              -              -              -              -              -              
55             -              151            -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              174            -              -              -              -              -              -              -              -              -              -              -              -              -              
114            -              191            -              -              -              -              -              -              -              -              -              -              -              -              -              
57             -              128            -              -              -              -              -              -              -              -              -              -              -              -              -              
57             -              149            -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              130            -              -              -              -              -              -              -              -              -              -              -              -              -              
49             -              111            -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              
108            -              113            -              -              -              -              -              -              -              -              -              -              -              -              -              
116            -              158            -              -              -              -              -              -              -              -              -              -              -              -              -              
106            -              186            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              153            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              150            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              143            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              145            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              168            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              174            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              162            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              135            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              162            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              160            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              158            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              153            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              138            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              154            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              176            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              150            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              146            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
