H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
14             13             9              6              12             7              5              4              0              0              3              6              3              0              22             11             
15             12             20             6              16             8              5              -              3              -              3              -              -              0              -              12             
12             13             12             6              21             9              4              -              2              -              -              -              -              -              -              -              
15             10             12             7              21             7              4              -              3              -              -              -              -              -              -              -              
12             14             11             12             17             7              0              -              0              -              -              -              -              -              -              -              
15             8              12             -              18             6              3              -              1              -              -              -              -              -              -              -              
14             19             11             -              19             6              3              -              0              -              -              -              -              -              -              -              
11             13             12             -              15             8              3              -              2              -              -              -              -              -              -              -              
13             12             13             -              21             7              6              -              1              -              -              -              -              -              -              -              
11             18             12             -              11             8              5              -              4              -              -              -              -              -              -              -              
10             0              12             -              11             11             6              -              0              -              -              -              -              -              -              -              
15             13             6              -              7              13             0              -              5              -              -              -              -              -              -              -              
15             14             12             -              14             7              7              -              2              -              -              -              -              -              -              -              
20             12             11             -              0              9              0              -              6              -              -              -              -              -              -              -              
13             13             2              -              2              12             6              -              3              -              -              -              -              -              -              -              
12             7              11             -              13             12             6              -              3              -              -              -              -              -              -              -              
14             -              25             -              10             9              3              -              2              -              -              -              -              -              -              -              
12             -              10             -              22             -              3              -              5              -              -              -              -              -              -              -              
14             -              11             -              19             -              6              -              2              -              -              -              -              -              -              -              
11             -              10             -              17             -              3              -              0              -              -              -              -              -              -              -              
14             -              13             -              6              -              6              -              6              -              -              -              -              -              -              -              
10             -              15             -              12             -              6              -              2              -              -              -              -              -              -              -              
4              -              12             -              18             -              2              -              5              -              -              -              -              -              -              -              
11             -              12             -              21             -              9              -              1              -              -              -              -              -              -              -              
10             -              9              -              10             -              -              -              2              -              -              -              -              -              -              -              
10             -              12             -              13             -              -              -              2              -              -              -              -              -              -              -              
13             -              10             -              8              -              -              -              0              -              -              -              -              -              -              -              
11             -              13             -              19             -              -              -              3              -              -              -              -              -              -              -              
14             -              12             -              15             -              -              -              0              -              -              -              -              -              -              -              
8              -              11             -              10             -              -              -              3              -              -              -              -              -              -              -              
11             -              6              -              4              -              -              -              0              -              -              -              -              -              -              -              
15             -              8              -              7              -              -              -              3              -              -              -              -              -              -              -              
10             -              12             -              9              -              -              -              4              -              -              -              -              -              -              -              
10             -              12             -              17             -              -              -              6              -              -              -              -              -              -              -              
12             -              12             -              12             -              -              -              3              -              -              -              -              -              -              -              
11             -              12             -              28             -              -              -              3              -              -              -              -              -              -              -              
14             -              9              -              21             -              -              -              -              -              -              -              -              -              -              -              
9              -              12             -              10             -              -              -              -              -              -              -              -              -              -              -              
5              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
13             -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
13             -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
