H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
1878           1594           1774           1625           1913           1910           1612           1696           1245           1751           1688           1466           1449           1782           1727           1694           
1887           1631           1841           1538           1827           1905           1483           -              1356           -              1628           -              -              1734           -              1855           
1858           1508           1543           1559           1798           1938           1607           -              1196           -              -              -              -              -              -              -              
1909           1667           1684           1595           1800           1889           1475           -              1166           -              -              -              -              -              -              -              
1847           1668           1703           1602           1784           1740           1465           -              1469           -              -              -              -              -              -              -              
1987           1524           1643           -              1712           1779           1372           -              1449           -              -              -              -              -              -              -              
1882           1609           1670           -              1696           1815           1268           -              1426           -              -              -              -              -              -              -              
1807           1708           1636           -              1659           1941           1488           -              1481           -              -              -              -              -              -              -              
1880           1529           1683           -              1671           1742           1468           -              1528           -              -              -              -              -              -              -              
1811           1789           1702           -              1805           1820           1464           -              1326           -              -              -              -              -              -              -              
1687           1530           1643           -              1561           1821           1605           -              1358           -              -              -              -              -              -              -              
1892           1689           1600           -              1637           1795           1569           -              1362           -              -              -              -              -              -              -              
1807           1681           1623           -              1491           1638           1476           -              1299           -              -              -              -              -              -              -              
1569           1523           1694           -              1640           1706           1453           -              1384           -              -              -              -              -              -              -              
1772           1765           1613           -              1569           1775           1371           -              1291           -              -              -              -              -              -              -              
1791           1560           1663           -              1429           1778           1393           -              1373           -              -              -              -              -              -              -              
1846           -              1770           -              1629           1633           1400           -              1303           -              -              -              -              -              -              -              
2102           -              1637           -              1679           -              1620           -              1272           -              -              -              -              -              -              -              
1779           -              1647           -              1342           -              1344           -              1303           -              -              -              -              -              -              -              
1684           -              1588           -              1841           -              1545           -              1265           -              -              -              -              -              -              -              
1640           -              1689           -              1417           -              1487           -              1356           -              -              -              -              -              -              -              
1648           -              1774           -              1653           -              1369           -              1241           -              -              -              -              -              -              -              
1849           -              1737           -              1748           -              1402           -              1384           -              -              -              -              -              -              -              
1617           -              1633           -              1745           -              1515           -              1363           -              -              -              -              -              -              -              
1727           -              1748           -              1684           -              -              -              1443           -              -              -              -              -              -              -              
1781           -              1640           -              1540           -              -              -              1479           -              -              -              -              -              -              -              
1526           -              1693           -              1648           -              -              -              1403           -              -              -              -              -              -              -              
1831           -              1730           -              1806           -              -              -              1373           -              -              -              -              -              -              -              
1812           -              1693           -              1679           -              -              -              1419           -              -              -              -              -              -              -              
1717           -              1727           -              1320           -              -              -              1370           -              -              -              -              -              -              -              
1779           -              1478           -              1470           -              -              -              1335           -              -              -              -              -              -              -              
1870           -              1720           -              1710           -              -              -              1258           -              -              -              -              -              -              -              
1658           -              1688           -              1638           -              -              -              1309           -              -              -              -              -              -              -              
1621           -              1659           -              1714           -              -              -              1332           -              -              -              -              -              -              -              
1878           -              1740           -              1718           -              -              -              1326           -              -              -              -              -              -              -              
1861           -              1797           -              1580           -              -              -              1245           -              -              -              -              -              -              -              
1743           -              1652           -              1624           -              -              -              -              -              -              -              -              -              -              -              
1219           -              1674           -              1606           -              -              -              -              -              -              -              -              -              -              -              
1153           -              1710           -              -              -              -              -              -              -              -              -              -              -              -              -              
1696           -              1702           -              -              -              -              -              -              -              -              -              -              -              -              -              
1437           -              1520           -              -              -              -              -              -              -              -              -              -              -              -              -              
1165           -              1555           -              -              -              -              -              -              -              -              -              -              -              -              -              
1197           -              1693           -              -              -              -              -              -              -              -              -              -              -              -              -              
1679           -              1822           -              -              -              -              -              -              -              -              -              -              -              -              -              
1163           -              1461           -              -              -              -              -              -              -              -              -              -              -              -              -              
1097           -              1566           -              -              -              -              -              -              -              -              -              -              -              -              -              
1131           -              1518           -              -              -              -              -              -              -              -              -              -              -              -              -              
1071           -              1560           -              -              -              -              -              -              -              -              -              -              -              -              -              
1747           -              1257           -              -              -              -              -              -              -              -              -              -              -              -              -              
1743           -              1527           -              -              -              -              -              -              -              -              -              -              -              -              -              
1809           -              1657           -              -              -              -              -              -              -              -              -              -              -              -              -              
1536           -              1807           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1536           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1528           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1559           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1400           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1680           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1623           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1678           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1679           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1679           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1763           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1522           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1580           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1521           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1432           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1494           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1599           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1527           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1452           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
