H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
77             59             65             62             80             86             103            92             89             63             54             57             115            85             76             59             
68             60             71             57             67             85             105            -              94             -              57             -              -              88             -              63             
65             60             60             60             56             91             103            -              87             -              -              -              -              -              -              -              
63             80             59             52             60             89             107            -              77             -              -              -              -              -              -              -              
60             86             61             67             65             89             111            -              85             -              -              -              -              -              -              -              
67             71             58             -              60             86             107            -              74             -              -              -              -              -              -              -              
66             64             58             -              41             91             115            -              77             -              -              -              -              -              -              -              
66             56             62             -              54             82             118            -              107            -              -              -              -              -              -              -              
70             64             63             -              60             82             107            -              102            -              -              -              -              -              -              -              
70             79             63             -              55             83             110            -              101            -              -              -              -              -              -              -              
35             77             64             -              58             80             101            -              92             -              -              -              -              -              -              -              
51             61             70             -              72             68             117            -              97             -              -              -              -              -              -              -              
58             69             59             -              74             83             117            -              94             -              -              -              -              -              -              -              
46             66             62             -              68             85             118            -              96             -              -              -              -              -              -              -              
58             57             67             -              66             63             109            -              100            -              -              -              -              -              -              -              
56             62             66             -              79             67             95             -              100            -              -              -              -              -              -              -              
69             -              66             -              82             88             113            -              100            -              -              -              -              -              -              -              
58             -              67             -              46             -              117            -              75             -              -              -              -              -              -              -              
62             -              62             -              48             -              116            -              90             -              -              -              -              -              -              -              
67             -              67             -              66             -              100            -              93             -              -              -              -              -              -              -              
40             -              58             -              62             -              98             -              103            -              -              -              -              -              -              -              
51             -              58             -              60             -              110            -              65             -              -              -              -              -              -              -              
55             -              64             -              60             -              109            -              105            -              -              -              -              -              -              -              
66             -              61             -              63             -              102            -              104            -              -              -              -              -              -              -              
62             -              82             -              65             -              -              -              104            -              -              -              -              -              -              -              
59             -              56             -              62             -              -              -              105            -              -              -              -              -              -              -              
58             -              81             -              58             -              -              -              94             -              -              -              -              -              -              -              
66             -              82             -              61             -              -              -              109            -              -              -              -              -              -              -              
52             -              79             -              71             -              -              -              94             -              -              -              -              -              -              -              
69             -              81             -              59             -              -              -              102            -              -              -              -              -              -              -              
69             -              66             -              65             -              -              -              95             -              -              -              -              -              -              -              
54             -              60             -              62             -              -              -              89             -              -              -              -              -              -              -              
59             -              63             -              64             -              -              -              106            -              -              -              -              -              -              -              
58             -              90             -              67             -              -              -              83             -              -              -              -              -              -              -              
61             -              88             -              60             -              -              -              92             -              -              -              -              -              -              -              
63             -              81             -              68             -              -              -              85             -              -              -              -              -              -              -              
57             -              63             -              64             -              -              -              -              -              -              -              -              -              -              -              
42             -              48             -              54             -              -              -              -              -              -              -              -              -              -              -              
42             -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              
66             -              105            -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              84             -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              93             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
93             -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
91             -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
71             -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
47             -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              61             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              56             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              47             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
