H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
43             36             70             73             31             44             35             27             40             33             19             62             53             50             50             65             
33             35             78             77             26             44             32             -              41             -              20             -              -              50             -              70             
36             34             75             85             27             44             30             -              43             -              -              -              -              -              -              -              
46             42             83             74             31             44             32             -              38             -              -              -              -              -              -              -              
37             42             79             74             39             44             18             -              49             -              -              -              -              -              -              -              
37             25             79             -              30             42             25             -              43             -              -              -              -              -              -              -              
37             28             82             -              36             45             32             -              43             -              -              -              -              -              -              -              
37             43             79             -              26             42             31             -              50             -              -              -              -              -              -              -              
35             38             76             -              30             38             29             -              50             -              -              -              -              -              -              -              
36             45             75             -              29             40             38             -              43             -              -              -              -              -              -              -              
28             23             81             -              31             41             63             -              47             -              -              -              -              -              -              -              
44             35             69             -              30             35             33             -              45             -              -              -              -              -              -              -              
44             37             77             -              36             35             42             -              42             -              -              -              -              -              -              -              
31             33             71             -              33             43             33             -              45             -              -              -              -              -              -              -              
36             29             67             -              21             27             36             -              50             -              -              -              -              -              -              -              
36             40             78             -              39             29             34             -              47             -              -              -              -              -              -              -              
31             -              70             -              31             26             26             -              46             -              -              -              -              -              -              -              
33             -              76             -              30             -              40             -              38             -              -              -              -              -              -              -              
42             -              78             -              30             -              32             -              46             -              -              -              -              -              -              -              
28             -              69             -              28             -              34             -              15             -              -              -              -              -              -              -              
37             -              71             -              33             -              33             -              58             -              -              -              -              -              -              -              
41             -              71             -              28             -              42             -              41             -              -              -              -              -              -              -              
32             -              71             -              31             -              28             -              43             -              -              -              -              -              -              -              
41             -              81             -              31             -              38             -              49             -              -              -              -              -              -              -              
41             -              84             -              32             -              -              -              44             -              -              -              -              -              -              -              
32             -              79             -              25             -              -              -              47             -              -              -              -              -              -              -              
42             -              85             -              27             -              -              -              54             -              -              -              -              -              -              -              
35             -              84             -              26             -              -              -              43             -              -              -              -              -              -              -              
40             -              84             -              22             -              -              -              51             -              -              -              -              -              -              -              
31             -              84             -              25             -              -              -              42             -              -              -              -              -              -              -              
35             -              63             -              28             -              -              -              49             -              -              -              -              -              -              -              
45             -              77             -              27             -              -              -              46             -              -              -              -              -              -              -              
34             -              78             -              27             -              -              -              41             -              -              -              -              -              -              -              
40             -              81             -              30             -              -              -              40             -              -              -              -              -              -              -              
30             -              84             -              28             -              -              -              38             -              -              -              -              -              -              -              
44             -              83             -              25             -              -              -              30             -              -              -              -              -              -              -              
33             -              70             -              46             -              -              -              -              -              -              -              -              -              -              -              
22             -              74             -              24             -              -              -              -              -              -              -              -              -              -              -              
32             -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
31             -              90             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              72             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              80             -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
32             -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
32             -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              85             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              72             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              71             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              72             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              72             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              71             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
