H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
32             27             66             70             25             38             32             18             33             27             17             62             50             29             32             54             
24             26             75             74             16             38             30             -              35             -              15             -              -              29             -              55             
27             26             64             82             21             37             30             -              37             -              -              -              -              -              -              -              
33             29             75             74             21             38             29             -              31             -              -              -              -              -              -              -              
28             31             73             74             23             38             12             -              35             -              -              -              -              -              -              -              
27             20             73             -              24             34             20             -              34             -              -              -              -              -              -              -              
25             15             73             -              25             39             32             -              37             -              -              -              -              -              -              -              
28             30             73             -              20             36             28             -              37             -              -              -              -              -              -              -              
24             26             74             -              24             30             23             -              37             -              -              -              -              -              -              -              
25             34             72             -              23             34             35             -              36             -              -              -              -              -              -              -              
21             16             74             -              19             32             45             -              35             -              -              -              -              -              -              -              
34             26             63             -              25             26             31             -              38             -              -              -              -              -              -              -              
34             28             71             -              27             26             39             -              35             -              -              -              -              -              -              -              
17             24             69             -              28             33             28             -              35             -              -              -              -              -              -              -              
27             18             54             -              18             21             30             -              35             -              -              -              -              -              -              -              
27             31             75             -              27             23             32             -              35             -              -              -              -              -              -              -              
25             -              61             -              25             20             23             -              35             -              -              -              -              -              -              -              
26             -              71             -              24             -              37             -              28             -              -              -              -              -              -              -              
32             -              72             -              16             -              29             -              36             -              -              -              -              -              -              -              
21             -              62             -              22             -              27             -              13             -              -              -              -              -              -              -              
25             -              66             -              27             -              30             -              44             -              -              -              -              -              -              -              
32             -              67             -              22             -              40             -              32             -              -              -              -              -              -              -              
23             -              68             -              25             -              26             -              32             -              -              -              -              -              -              -              
26             -              73             -              25             -              35             -              34             -              -              -              -              -              -              -              
30             -              78             -              26             -              -              -              29             -              -              -              -              -              -              -              
25             -              74             -              19             -              -              -              33             -              -              -              -              -              -              -              
33             -              79             -              21             -              -              -              33             -              -              -              -              -              -              -              
27             -              78             -              20             -              -              -              29             -              -              -              -              -              -              -              
30             -              78             -              16             -              -              -              33             -              -              -              -              -              -              -              
24             -              78             -              19             -              -              -              28             -              -              -              -              -              -              -              
25             -              53             -              22             -              -              -              32             -              -              -              -              -              -              -              
33             -              73             -              21             -              -              -              33             -              -              -              -              -              -              -              
21             -              76             -              21             -              -              -              29             -              -              -              -              -              -              -              
31             -              78             -              24             -              -              -              26             -              -              -              -              -              -              -              
21             -              78             -              22             -              -              -              29             -              -              -              -              -              -              -              
32             -              62             -              19             -              -              -              18             -              -              -              -              -              -              -              
23             -              67             -              37             -              -              -              -              -              -              -              -              -              -              -              
15             -              71             -              15             -              -              -              -              -              -              -              -              -              -              -              
18             -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              81             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              74             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              54             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              54             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              61             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              42             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              54             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              69             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              69             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              69             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
