H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
127            103            152            135            149            139            155            172            146            127            102            129            186            139            91             107            
101            103            131            140            125            128            156            -              156            -              108            -              -              146            -              113            
104            95             138            125            95             144            163            -              151            -              -              -              -              -              -              -              
110            99             118            130            115            145            161            -              131            -              -              -              -              -              -              -              
94             107            115            140            115            143            195            -              145            -              -              -              -              -              -              -              
110            121            118            -              101            124            163            -              126            -              -              -              -              -              -              -              
109            108            124            -              95             145            172            -              137            -              -              -              -              -              -              -              
104            76             120            -              106            137            176            -              161            -              -              -              -              -              -              -              
108            85             120            -              102            126            155            -              157            -              -              -              -              -              -              -              
112            108            118            -              109            129            167            -              161            -              -              -              -              -              -              -              
61             113            125            -              99             118            158            -              145            -              -              -              -              -              -              -              
100            104            130            -              137            93             166            -              165            -              -              -              -              -              -              -              
112            108            108            -              119            124            173            -              148            -              -              -              -              -              -              -              
74             105            113            -              134            123            183            -              155            -              -              -              -              -              -              -              
89             90             142            -              114            96             157            -              156            -              -              -              -              -              -              -              
93             91             124            -              123            99             162            -              150            -              -              -              -              -              -              -              
98             -              133            -              138            111            149            -              152            -              -              -              -              -              -              -              
101            -              119            -              84             -              172            -              134            -              -              -              -              -              -              -              
102            -              118            -              86             -              173            -              153            -              -              -              -              -              -              -              
117            -              141            -              115            -              140            -              148            -              -              -              -              -              -              -              
76             -              124            -              86             -              152            -              177            -              -              -              -              -              -              -              
92             -              123            -              115            -              168            -              118            -              -              -              -              -              -              -              
85             -              129            -              107            -              169            -              167            -              -              -              -              -              -              -              
101            -              105            -              105            -              180            -              168            -              -              -              -              -              -              -              
100            -              171            -              115            -              -              -              168            -              -              -              -              -              -              -              
108            -              111            -              101            -              -              -              163            -              -              -              -              -              -              -              
114            -              167            -              104            -              -              -              147            -              -              -              -              -              -              -              
115            -              171            -              126            -              -              -              171            -              -              -              -              -              -              -              
99             -              168            -              144            -              -              -              155            -              -              -              -              -              -              -              
110            -              167            -              106            -              -              -              160            -              -              -              -              -              -              -              
115            -              128            -              95             -              -              -              153            -              -              -              -              -              -              -              
108            -              120            -              122            -              -              -              152            -              -              -              -              -              -              -              
104            -              126            -              119            -              -              -              165            -              -              -              -              -              -              -              
89             -              162            -              120            -              -              -              142            -              -              -              -              -              -              -              
121            -              180            -              113            -              -              -              151            -              -              -              -              -              -              -              
109            -              141            -              120            -              -              -              145            -              -              -              -              -              -              -              
99             -              113            -              113            -              -              -              -              -              -              -              -              -              -              -              
101            -              100            -              101            -              -              -              -              -              -              -              -              -              -              -              
91             -              153            -              -              -              -              -              -              -              -              -              -              -              -              -              
101            -              181            -              -              -              -              -              -              -              -              -              -              -              -              -              
102            -              130            -              -              -              -              -              -              -              -              -              -              -              -              -              
91             -              111            -              -              -              -              -              -              -              -              -              -              -              -              -              
93             -              156            -              -              -              -              -              -              -              -              -              -              -              -              -              
81             -              185            -              -              -              -              -              -              -              -              -              -              -              -              -              
51             -              126            -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              129            -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              133            -              -              -              -              -              -              -              -              -              -              -              -              -              
50             -              121            -              -              -              -              -              -              -              -              -              -              -              -              -              
133            -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
126            -              127            -              -              -              -              -              -              -              -              -              -              -              -              -              
122            -              113            -              -              -              -              -              -              -              -              -              -              -              -              -              
99             -              123            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              105            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              114            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              118            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              100            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              123            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              134            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              103            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              103            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              114            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              125            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              123            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              113            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              97             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              103            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              107            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              119            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
