H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
19             5              28             15             17             18             18             51             27             21             21             25             31             35             13             3              
15             8              16             17             6              14             16             -              25             -              25             -              -              37             -              3              
16             9              31             9              15             19             17             -              27             -              -              -              -              -              -              -              
21             3              12             14             3              19             18             -              19             -              -              -              -              -              -              -              
15             6              12             14             6              18             42             -              23             -              -              -              -              -              -              -              
14             15             13             -              15             18             9              -              22             -              -              -              -              -              -              -              
22             8              12             -              7              17             12             -              21             -              -              -              -              -              -              -              
16             4              14             -              14             19             14             -              20             -              -              -              -              -              -              -              
20             4              12             -              15             18             9              -              24             -              -              -              -              -              -              -              
22             5              13             -              18             16             15             -              23             -              -              -              -              -              -              -              
14             7              13             -              6              16             8              -              22             -              -              -              -              -              -              -              
22             11             20             -              16             11             11             -              30             -              -              -              -              -              -              -              
24             11             12             -              9              22             15             -              20             -              -              -              -              -              -              -              
15             11             12             -              17             19             23             -              24             -              -              -              -              -              -              -              
16             8              25             -              15             14             18             -              26             -              -              -              -              -              -              -              
17             11             14             -              9              10             16             -              17             -              -              -              -              -              -              -              
17             -              34             -              16             6              11             -              18             -              -              -              -              -              -              -              
16             -              13             -              14             -              19             -              23             -              -              -              -              -              -              -              
17             -              13             -              10             -              13             -              24             -              -              -              -              -              -              -              
19             -              17             -              21             -              12             -              22             -              -              -              -              -              -              -              
22             -              18             -              15             -              21             -              38             -              -              -              -              -              -              -              
15             -              15             -              14             -              16             -              16             -              -              -              -              -              -              -              
15             -              17             -              23             -              20             -              29             -              -              -              -              -              -              -              
25             -              15             -              19             -              15             -              34             -              -              -              -              -              -              -              
14             -              38             -              14             -              -              -              31             -              -              -              -              -              -              -              
21             -              14             -              26             -              -              -              31             -              -              -              -              -              -              -              
24             -              35             -              15             -              -              -              32             -              -              -              -              -              -              -              
22             -              38             -              18             -              -              -              32             -              -              -              -              -              -              -              
19             -              35             -              21             -              -              -              33             -              -              -              -              -              -              -              
17             -              35             -              11             -              -              -              33             -              -              -              -              -              -              -              
19             -              22             -              23             -              -              -              34             -              -              -              -              -              -              -              
18             -              20             -              13             -              -              -              40             -              -              -              -              -              -              -              
15             -              24             -              20             -              -              -              32             -              -              -              -              -              -              -              
11             -              21             -              19             -              -              -              38             -              -              -              -              -              -              -              
18             -              38             -              16             -              -              -              28             -              -              -              -              -              -              -              
21             -              21             -              15             -              -              -              38             -              -              -              -              -              -              -              
13             -              13             -              2              -              -              -              -              -              -              -              -              -              -              -              
29             -              16             -              3              -              -              -              -              -              -              -              -              -              -              -              
31             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
13             -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
