H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
170            139            222            208            180            183            190            199            186            160            121            191            239            189            141            172            
134            138            209            217            151            172            188            -              197            -              128            -              -              196            -              183            
140            129            213            210            122            188            193            -              194            -              -              -              -              -              -              -              
156            141            201            204            146            189            193            -              169            -              -              -              -              -              -              -              
131            149            194            214            154            187            213            -              194            -              -              -              -              -              -              -              
147            146            197            -              131            166            188            -              169            -              -              -              -              -              -              -              
146            136            206            -              131            190            204            -              180            -              -              -              -              -              -              -              
141            119            199            -              132            179            207            -              211            -              -              -              -              -              -              -              
143            123            196            -              132            164            184            -              207            -              -              -              -              -              -              -              
148            153            193            -              138            169            205            -              204            -              -              -              -              -              -              -              
89             136            206            -              130            159            221            -              192            -              -              -              -              -              -              -              
144            139            199            -              167            128            199            -              210            -              -              -              -              -              -              -              
156            145            185            -              155            159            215            -              190            -              -              -              -              -              -              -              
105            138            184            -              167            166            216            -              200            -              -              -              -              -              -              -              
125            119            209            -              135            123            193            -              206            -              -              -              -              -              -              -              
129            131            202            -              162            128            196            -              197            -              -              -              -              -              -              -              
129            -              203            -              169            137            175            -              198            -              -              -              -              -              -              -              
134            -              195            -              114            -              212            -              172            -              -              -              -              -              -              -              
144            -              196            -              116            -              205            -              199            -              -              -              -              -              -              -              
145            -              210            -              143            -              174            -              163            -              -              -              -              -              -              -              
113            -              195            -              119            -              185            -              235            -              -              -              -              -              -              -              
133            -              194            -              143            -              210            -              159            -              -              -              -              -              -              -              
117            -              200            -              138            -              197            -              210            -              -              -              -              -              -              -              
142            -              186            -              136            -              218            -              217            -              -              -              -              -              -              -              
141            -              255            -              147            -              -              -              212            -              -              -              -              -              -              -              
140            -              190            -              126            -              -              -              210            -              -              -              -              -              -              -              
156            -              252            -              131            -              -              -              201            -              -              -              -              -              -              -              
150            -              255            -              152            -              -              -              214            -              -              -              -              -              -              -              
139            -              252            -              166            -              -              -              206            -              -              -              -              -              -              -              
141            -              251            -              131            -              -              -              202            -              -              -              -              -              -              -              
150            -              191            -              123            -              -              -              202            -              -              -              -              -              -              -              
153            -              197            -              149            -              -              -              198            -              -              -              -              -              -              -              
138            -              204            -              146            -              -              -              206            -              -              -              -              -              -              -              
129            -              243            -              150            -              -              -              182            -              -              -              -              -              -              -              
151            -              264            -              141            -              -              -              189            -              -              -              -              -              -              -              
153            -              224            -              145            -              -              -              175            -              -              -              -              -              -              -              
132            -              183            -              159            -              -              -              -              -              -              -              -              -              -              -              
123            -              174            -              125            -              -              -              -              -              -              -              -              -              -              -              
123            -              230            -              -              -              -              -              -              -              -              -              -              -              -              -              
132            -              271            -              -              -              -              -              -              -              -              -              -              -              -              -              
141            -              202            -              -              -              -              -              -              -              -              -              -              -              -              -              
109            -              188            -              -              -              -              -              -              -              -              -              -              -              -              -              
119            -              236            -              -              -              -              -              -              -              -              -              -              -              -              -              
126            -              268            -              -              -              -              -              -              -              -              -              -              -              -              -              
83             -              190            -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              184            -              -              -              -              -              -              -              -              -              -              -              -              -              
72             -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              
86             -              187            -              -              -              -              -              -              -              -              -              -              -              -              -              
178            -              125            -              -              -              -              -              -              -              -              -              -              -              -              -              
174            -              185            -              -              -              -              -              -              -              -              -              -              -              -              -              
158            -              189            -              -              -              -              -              -              -              -              -              -              -              -              -              
131            -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              169            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              193            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              203            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              166            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              195            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              205            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              180            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              180            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              184            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              202            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              185            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              152            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              169            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              158            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              190            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              147            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
