H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
29             20             105            73             29             29             44             23             45             37             45             51             56             28             26             31             
14             18             69             58             51             30             46             -              38             -              39             -              -              30             -              33             
23             19             98             78             35             23             47             -              39             -              -              -              -              -              -              -              
31             33             74             76             44             26             47             -              41             -              -              -              -              -              -              -              
33             34             74             62             42             19             36             -              34             -              -              -              -              -              -              -              
24             31             72             -              39             19             35             -              35             -              -              -              -              -              -              -              
20             52             73             -              57             25             43             -              36             -              -              -              -              -              -              -              
25             34             69             -              31             25             40             -              43             -              -              -              -              -              -              -              
21             30             75             -              33             16             33             -              36             -              -              -              -              -              -              -              
18             36             70             -              41             22             43             -              37             -              -              -              -              -              -              -              
17             28             72             -              42             28             55             -              36             -              -              -              -              -              -              -              
26             32             71             -              24             18             42             -              31             -              -              -              -              -              -              -              
26             31             72             -              44             36             48             -              32             -              -              -              -              -              -              -              
18             27             70             -              25             34             49             -              33             -              -              -              -              -              -              -              
15             16             70             -              22             22             42             -              32             -              -              -              -              -              -              -              
32             36             73             -              46             29             58             -              35             -              -              -              -              -              -              -              
17             -              84             -              44             23             37             -              34             -              -              -              -              -              -              -              
29             -              79             -              25             -              57             -              36             -              -              -              -              -              -              -              
26             -              69             -              43             -              56             -              41             -              -              -              -              -              -              -              
31             -              68             -              28             -              51             -              29             -              -              -              -              -              -              -              
27             -              63             -              23             -              42             -              38             -              -              -              -              -              -              -              
22             -              60             -              23             -              56             -              55             -              -              -              -              -              -              -              
24             -              63             -              33             -              44             -              37             -              -              -              -              -              -              -              
30             -              57             -              25             -              57             -              35             -              -              -              -              -              -              -              
31             -              86             -              28             -              -              -              37             -              -              -              -              -              -              -              
24             -              65             -              16             -              -              -              43             -              -              -              -              -              -              -              
30             -              88             -              26             -              -              -              40             -              -              -              -              -              -              -              
29             -              79             -              28             -              -              -              34             -              -              -              -              -              -              -              
40             -              88             -              35             -              -              -              39             -              -              -              -              -              -              -              
32             -              91             -              43             -              -              -              32             -              -              -              -              -              -              -              
28             -              54             -              13             -              -              -              38             -              -              -              -              -              -              -              
24             -              75             -              41             -              -              -              54             -              -              -              -              -              -              -              
12             -              79             -              37             -              -              -              38             -              -              -              -              -              -              -              
30             -              79             -              28             -              -              -              45             -              -              -              -              -              -              -              
42             -              87             -              24             -              -              -              47             -              -              -              -              -              -              -              
28             -              60             -              44             -              -              -              48             -              -              -              -              -              -              -              
19             -              78             -              41             -              -              -              -              -              -              -              -              -              -              -              
24             -              71             -              30             -              -              -              -              -              -              -              -              -              -              -              
23             -              82             -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
35             -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              78             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              80             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              81             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              44             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
