H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
21             7              39             23             16             9              17             8              21             4              10             13             14             17             20             16             
6              6              23             17             33             10             16             -              16             -              10             -              -              14             -              18             
21             4              32             18             11             10             12             -              13             -              -              -              -              -              -              -              
19             23             29             15             27             8              17             -              14             -              -              -              -              -              -              -              
30             24             22             20             33             5              3              -              10             -              -              -              -              -              -              -              
24             17             25             -              19             10             13             -              10             -              -              -              -              -              -              -              
11             25             23             -              39             10             6              -              9              -              -              -              -              -              -              -              
25             23             24             -              22             10             12             -              9              -              -              -              -              -              -              -              
7              22             29             -              9              6              12             -              11             -              -              -              -              -              -              -              
7              27             23             -              15             7              19             -              14             -              -              -              -              -              -              -              
4              10             24             -              33             16             24             -              10             -              -              -              -              -              -              -              
19             19             19             -              18             6              10             -              7              -              -              -              -              -              -              -              
22             20             21             -              26             19             24             -              7              -              -              -              -              -              -              -              
24             19             22             -              15             15             14             -              7              -              -              -              -              -              -              -              
9              6              27             -              10             11             21             -              11             -              -              -              -              -              -              -              
31             27             20             -              28             13             22             -              10             -              -              -              -              -              -              -              
11             -              13             -              24             11             21             -              6              -              -              -              -              -              -              -              
26             -              24             -              10             -              21             -              9              -              -              -              -              -              -              -              
15             -              22             -              25             -              20             -              14             -              -              -              -              -              -              -              
24             -              23             -              14             -              15             -              1              -              -              -              -              -              -              -              
9              -              29             -              8              -              18             -              40             -              -              -              -              -              -              -              
12             -              22             -              12             -              10             -              22             -              -              -              -              -              -              -              
22             -              13             -              14             -              9              -              26             -              -              -              -              -              -              -              
30             -              17             -              9              -              27             -              26             -              -              -              -              -              -              -              
16             -              24             -              15             -              -              -              25             -              -              -              -              -              -              -              
28             -              19             -              1              -              -              -              32             -              -              -              -              -              -              -              
12             -              24             -              14             -              -              -              29             -              -              -              -              -              -              -              
33             -              21             -              16             -              -              -              21             -              -              -              -              -              -              -              
35             -              30             -              13             -              -              -              30             -              -              -              -              -              -              -              
34             -              24             -              26             -              -              -              28             -              -              -              -              -              -              -              
27             -              24             -              0              -              -              -              36             -              -              -              -              -              -              -              
20             -              21             -              25             -              -              -              41             -              -              -              -              -              -              -              
9              -              18             -              20             -              -              -              32             -              -              -              -              -              -              -              
13             -              27             -              12             -              -              -              30             -              -              -              -              -              -              -              
33             -              24             -              14             -              -              -              27             -              -              -              -              -              -              -              
19             -              18             -              24             -              -              -              38             -              -              -              -              -              -              -              
17             -              26             -              32             -              -              -              -              -              -              -              -              -              -              -              
33             -              12             -              12             -              -              -              -              -              -              -              -              -              -              -              
32             -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
