H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
45             33             127            94             56             63             77             52             58             72             64             74             79             66             24             40             
29             29             113            92             49             63             72             -              57             -              61             -              -              66             -              50             
36             34             109            112            60             56             78             -              54             -              -              -              -              -              -              -              
38             37             111            102            49             62             78             -              65             -              -              -              -              -              -              -              
36             35             113            91             46             54             78             -              55             -              -              -              -              -              -              -              
31             67             105            -              55             45             54             -              57             -              -              -              -              -              -              -              
62             66             109            -              33             61             71             -              56             -              -              -              -              -              -              -              
32             39             100            -              36             54             55             -              61             -              -              -              -              -              -              -              
60             37             110            -              56             51             48             -              48             -              -              -              -              -              -              -              
58             33             104            -              61             53             72             -              54             -              -              -              -              -              -              -              
66             52             105            -              48             48             81             -              61             -              -              -              -              -              -              -              
35             33             104            -              36             43             75             -              51             -              -              -              -              -              -              -              
32             39             103            -              43             52             76             -              54             -              -              -              -              -              -              -              
47             28             100            -              35             49             72             -              56             -              -              -              -              -              -              -              
29             36             80             -              58             49             51             -              53             -              -              -              -              -              -              -              
35             47             99             -              59             57             86             -              62             -              -              -              -              -              -              -              
40             -              114            -              55             45             59             -              57             -              -              -              -              -              -              -              
45             -              106            -              38             -              75             -              62             -              -              -              -              -              -              -              
36             -              98             -              46             -              76             -              63             -              -              -              -              -              -              -              
39             -              103            -              49             -              66             -              49             -              -              -              -              -              -              -              
39             -              98             -              60             -              48             -              64             -              -              -              -              -              -              -              
41             -              92             -              52             -              94             -              75             -              -              -              -              -              -              -              
40             -              100            -              55             -              59             -              60             -              -              -              -              -              -              -              
32             -              88             -              59             -              82             -              47             -              -              -              -              -              -              -              
38             -              110            -              49             -              -              -              59             -              -              -              -              -              -              -              
44             -              103            -              56             -              -              -              60             -              -              -              -              -              -              -              
41             -              111            -              33             -              -              -              55             -              -              -              -              -              -              -              
44             -              104            -              46             -              -              -              64             -              -              -              -              -              -              -              
35             -              105            -              58             -              -              -              54             -              -              -              -              -              -              -              
43             -              113            -              53             -              -              -              47             -              -              -              -              -              -              -              
43             -              82             -              57             -              -              -              57             -              -              -              -              -              -              -              
25             -              122            -              52             -              -              -              70             -              -              -              -              -              -              -              
44             -              115            -              45             -              -              -              62             -              -              -              -              -              -              -              
38             -              113            -              66             -              -              -              63             -              -              -              -              -              -              -              
34             -              113            -              42             -              -              -              61             -              -              -              -              -              -              -              
35             -              80             -              60             -              -              -              68             -              -              -              -              -              -              -              
33             -              109            -              39             -              -              -              -              -              -              -              -              -              -              -              
45             -              113            -              38             -              -              -              -              -              -              -              -              -              -              -              
35             -              108            -              -              -              -              -              -              -              -              -              -              -              -              -              
37             -              118            -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              107            -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              104            -              -              -              -              -              -              -              -              -              -              -              -              -              
44             -              105            -              -              -              -              -              -              -              -              -              -              -              -              -              
34             -              120            -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              90             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              107            -              -              -              -              -              -              -              -              -              -              -              -              -              
54             -              80             -              -              -              -              -              -              -              -              -              -              -              -              -              
55             -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
64             -              95             -              -              -              -              -              -              -              -              -              -              -              -              -              
62             -              105            -              -              -              -              -              -              -              -              -              -              -              -              -              
46             -              115            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              118            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              118            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              114            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              94             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              112            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              120            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              120            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              100            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              95             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              107            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              94             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              85             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              85             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              93             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
