H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
6              7              6              14             9              10             18             3              16             3              6              6              15             18             0              0              
6              5              3              21             1              10             23             -              14             -              7              -              -              16             -              0              
5              5              4              14             6              10             22             -              12             -              -              -              -              -              -              -              
3              7              8              8              2              9              15             -              9              -              -              -              -              -              -              -              
5              10             10             8              4              9              18             -              8              -              -              -              -              -              -              -              
4              22             5              -              6              9              17             -              8              -              -              -              -              -              -              -              
10             14             7              -              0              8              21             -              8              -              -              -              -              -              -              -              
4              9              6              -              11             8              16             -              9              -              -              -              -              -              -              -              
9              9              8              -              6              11             18             -              3              -              -              -              -              -              -              -              
12             9              7              -              12             10             9              -              11             -              -              -              -              -              -              -              
6              11             6              -              6              15             13             -              11             -              -              -              -              -              -              -              
3              7              9              -              9              5              16             -              11             -              -              -              -              -              -              -              
3              9              7              -              3              6              12             -              13             -              -              -              -              -              -              -              
11             6              5              -              6              3              11             -              13             -              -              -              -              -              -              -              
5              6              1              -              13             6              9              -              15             -              -              -              -              -              -              -              
5              20             4              -              2              6              7              -              11             -              -              -              -              -              -              -              
9              -              7              -              8              5              12             -              11             -              -              -              -              -              -              -              
9              -              6              -              8              -              4              -              12             -              -              -              -              -              -              -              
6              -              4              -              6              -              7              -              11             -              -              -              -              -              -              -              
9              -              4              -              11             -              6              -              7              -              -              -              -              -              -              -              
9              -              7              -              19             -              12             -              18             -              -              -              -              -              -              -              
2              -              3              -              8              -              20             -              14             -              -              -              -              -              -              -              
2              -              6              -              11             -              12             -              13             -              -              -              -              -              -              -              
0              -              5              -              11             -              22             -              9              -              -              -              -              -              -              -              
7              -              2              -              8              -              -              -              10             -              -              -              -              -              -              -              
9              -              7              -              16             -              -              -              11             -              -              -              -              -              -              -              
3              -              2              -              7              -              -              -              12             -              -              -              -              -              -              -              
6              -              2              -              7              -              -              -              15             -              -              -              -              -              -              -              
1              -              2              -              18             -              -              -              13             -              -              -              -              -              -              -              
8              -              1              -              18             -              -              -              8              -              -              -              -              -              -              -              
12             -              3              -              17             -              -              -              12             -              -              -              -              -              -              -              
3              -              5              -              14             -              -              -              9              -              -              -              -              -              -              -              
3              -              6              -              9              -              -              -              15             -              -              -              -              -              -              -              
6              -              2              -              18             -              -              -              9              -              -              -              -              -              -              -              
12             -              2              -              11             -              -              -              12             -              -              -              -              -              -              -              
3              -              2              -              19             -              -              -              19             -              -              -              -              -              -              -              
2              -              6              -              6              -              -              -              -              -              -              -              -              -              -              -              
12             -              3              -              6              -              -              -              -              -              -              -              -              -              -              -              
2              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
1              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
