H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
9              13             35             32             12             14             12             10             9              10             28             12             12             14             15             11             
6              11             34             29             20             15             15             -              8              -              30             -              -              16             -              11             
9              11             29             28             18             12             13             -              8              -              -              -              -              -              -              -              
5              9              33             25             23             13             12             -              9              -              -              -              -              -              -              -              
10             10             38             25             18             13             21             -              5              -              -              -              -              -              -              -              
5              11             32             -              18             12             14             -              4              -              -              -              -              -              -              -              
9              32             32             -              24             14             6              -              5              -              -              -              -              -              -              -              
8              12             33             -              9              12             13             -              9              -              -              -              -              -              -              -              
7              8              34             -              15             10             13             -              5              -              -              -              -              -              -              -              
7              11             31             -              23             13             16             -              5              -              -              -              -              -              -              -              
10             11             34             -              12             13             22             -              5              -              -              -              -              -              -              -              
6              15             32             -              5              7              17             -              3              -              -              -              -              -              -              -              
6              14             33             -              19             14             18             -              5              -              -              -              -              -              -              -              
10             8              33             -              4              18             17             -              4              -              -              -              -              -              -              -              
6              7              21             -              7              7              18             -              6              -              -              -              -              -              -              -              
9              12             36             -              23             7              23             -              6              -              -              -              -              -              -              -              
8              -              27             -              15             9              27             -              6              -              -              -              -              -              -              -              
7              -              39             -              16             -              21             -              6              -              -              -              -              -              -              -              
8              -              32             -              12             -              26             -              7              -              -              -              -              -              -              -              
9              -              31             -              9              -              18             -              3              -              -              -              -              -              -              -              
9              -              22             -              6              -              21             -              7              -              -              -              -              -              -              -              
9              -              23             -              7              -              20             -              10             -              -              -              -              -              -              -              
14             -              29             -              14             -              19             -              7              -              -              -              -              -              -              -              
12             -              30             -              11             -              23             -              6              -              -              -              -              -              -              -              
8              -              33             -              9              -              -              -              6              -              -              -              -              -              -              -              
8              -              30             -              10             -              -              -              10             -              -              -              -              -              -              -              
9              -              32             -              8              -              -              -              7              -              -              -              -              -              -              -              
9              -              29             -              12             -              -              -              3              -              -              -              -              -              -              -              
7              -              41             -              17             -              -              -              7              -              -              -              -              -              -              -              
12             -              35             -              15             -              -              -              4              -              -              -              -              -              -              -              
6              -              26             -              10             -              -              -              6              -              -              -              -              -              -              -              
6              -              28             -              11             -              -              -              12             -              -              -              -              -              -              -              
9              -              27             -              15             -              -              -              4              -              -              -              -              -              -              -              
9              -              30             -              14             -              -              -              7              -              -              -              -              -              -              -              
6              -              29             -              9              -              -              -              14             -              -              -              -              -              -              -              
6              -              24             -              20             -              -              -              15             -              -              -              -              -              -              -              
6              -              36             -              17             -              -              -              -              -              -              -              -              -              -              -              
9              -              23             -              9              -              -              -              -              -              -              -              -              -              -              -              
6              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
