H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
0              2              9              9              5              4              11             0              8              2              2              9              11             1              13             4              
0              3              14             11             9              5              11             -              10             -              4              -              -              0              -              5              
4              1              8              9              3              5              8              -              5              -              -              -              -              -              -              -              
0              2              17             9              10             4              9              -              8              -              -              -              -              -              -              -              
4              4              13             10             10             4              0              -              0              -              -              -              -              -              -              -              
0              0              16             -              3              7              11             -              0              -              -              -              -              -              -              -              
5              8              15             -              12             6              3              -              0              -              -              -              -              -              -              -              
3              6              15             -              3              4              7              -              0              -              -              -              -              -              -              -              
1              6              19             -              0              4              10             -              0              -              -              -              -              -              -              -              
1              6              14             -              4              5              13             -              2              -              -              -              -              -              -              -              
0              0              15             -              0              5              12             -              0              -              -              -              -              -              -              -              
0              5              11             -              4              0              9              -              0              -              -              -              -              -              -              -              
0              6              15             -              6              2              15             -              0              -              -              -              -              -              -              -              
0              2              13             -              0              4              8              -              0              -              -              -              -              -              -              -              
0              0              11             -              2              2              15             -              1              -              -              -              -              -              -              -              
4              9              14             -              7              2              13             -              2              -              -              -              -              -              -              -              
3              -              7              -              2              0              18             -              0              -              -              -              -              -              -              -              
2              -              14             -              4              -              12             -              0              -              -              -              -              -              -              -              
0              -              14             -              0              -              15             -              1              -              -              -              -              -              -              -              
0              -              13             -              3              -              12             -              0              -              -              -              -              -              -              -              
0              -              20             -              0              -              15             -              11             -              -              -              -              -              -              -              
3              -              16             -              2              -              9              -              5              -              -              -              -              -              -              -              
0              -              10             -              1              -              9              -              6              -              -              -              -              -              -              -              
0              -              10             -              4              -              17             -              5              -              -              -              -              -              -              -              
0              -              12             -              1              -              -              -              6              -              -              -              -              -              -              -              
5              -              10             -              0              -              -              -              9              -              -              -              -              -              -              -              
0              -              12             -              2              -              -              -              6              -              -              -              -              -              -              -              
3              -              9              -              3              -              -              -              2              -              -              -              -              -              -              -              
0              -              18             -              0              -              -              -              7              -              -              -              -              -              -              -              
7              -              12             -              0              -              -              -              5              -              -              -              -              -              -              -              
3              -              19             -              0              -              -              -              11             -              -              -              -              -              -              -              
0              -              13             -              0              -              -              -              3              -              -              -              -              -              -              -              
0              -              9              -              3              -              -              -              6              -              -              -              -              -              -              -              
0              -              16             -              6              -              -              -              2              -              -              -              -              -              -              -              
3              -              12             -              3              -              -              -              9              -              -              -              -              -              -              -              
0              -              9              -              6              -              -              -              8              -              -              -              -              -              -              -              
0              -              16             -              11             -              -              -              -              -              -              -              -              -              -              -              
0              -              9              -              0              -              -              -              -              -              -              -              -              -              -              -              
0              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
1              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
