H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
6              7              3              8              9              8              0              3              16             3              0              6              3              4              0              0              
6              5              3              15             1              8              5              -              14             -              0              -              -              2              -              0              
5              5              4              9              6              8              4              -              12             -              -              -              -              -              -              -              
3              7              7              7              2              7              3              -              8              -              -              -              -              -              -              -              
5              10             9              8              4              6              0              -              8              -              -              -              -              -              -              -              
4              20             4              -              6              9              11             -              8              -              -              -              -              -              -              -              
10             14             4              -              0              6              12             -              8              -              -              -              -              -              -              -              
4              6              5              -              11             6              7              -              8              -              -              -              -              -              -              -              
9              7              6              -              6              9              12             -              3              -              -              -              -              -              -              -              
12             9              6              -              12             8              3              -              11             -              -              -              -              -              -              -              
6              11             5              -              6              9              6              -              11             -              -              -              -              -              -              -              
3              7              3              -              9              5              13             -              9              -              -              -              -              -              -              -              
3              9              6              -              3              5              6              -              13             -              -              -              -              -              -              -              
11             6              4              -              6              3              4              -              13             -              -              -              -              -              -              -              
5              6              0              -              12             6              3              -              15             -              -              -              -              -              -              -              
5              13             3              -              2              6              0              -              11             -              -              -              -              -              -              -              
9              -              1              -              8              3              6              -              11             -              -              -              -              -              -              -              
9              -              5              -              8              -              0              -              12             -              -              -              -              -              -              -              
6              -              3              -              6              -              1              -              11             -              -              -              -              -              -              -              
9              -              4              -              11             -              0              -              7              -              -              -              -              -              -              -              
9              -              6              -              19             -              6              -              17             -              -              -              -              -              -              -              
2              -              3              -              8              -              15             -              13             -              -              -              -              -              -              -              
2              -              6              -              11             -              5              -              12             -              -              -              -              -              -              -              
0              -              5              -              11             -              15             -              8              -              -              -              -              -              -              -              
7              -              2              -              8              -              -              -              9              -              -              -              -              -              -              -              
9              -              7              -              16             -              -              -              10             -              -              -              -              -              -              -              
3              -              2              -              7              -              -              -              12             -              -              -              -              -              -              -              
6              -              2              -              7              -              -              -              12             -              -              -              -              -              -              -              
1              -              2              -              18             -              -              -              11             -              -              -              -              -              -              -              
8              -              1              -              18             -              -              -              7              -              -              -              -              -              -              -              
11             -              3              -              17             -              -              -              12             -              -              -              -              -              -              -              
3              -              4              -              14             -              -              -              9              -              -              -              -              -              -              -              
3              -              3              -              9              -              -              -              13             -              -              -              -              -              -              -              
6              -              2              -              18             -              -              -              8              -              -              -              -              -              -              -              
12             -              2              -              11             -              -              -              11             -              -              -              -              -              -              -              
3              -              2              -              17             -              -              -              16             -              -              -              -              -              -              -              
2              -              5              -              6              -              -              -              -              -              -              -              -              -              -              -              
12             -              3              -              6              -              -              -              -              -              -              -              -              -              -              -              
2              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
1              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
