H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
19             8              49             16             32             20             26             24             7              26             6              23             3              22             0              5              
4              8              50             19             18             20             17             -              9              -              6              -              -              22             -              3              
14             10             33             20             27             19             17             -              6              -              -              -              -              -              -              -              
16             8              40             24             20             20             28             -              14             -              -              -              -              -              -              -              
13             12             37             22             19             15             21             -              20             -              -              -              -              -              -              -              
12             12             37             -              27             13             8              -              22             -              -              -              -              -              -              -              
37             16             36             -              9              21             7              -              21             -              -              -              -              -              -              -              
11             9              34             -              16             17             6              -              16             -              -              -              -              -              -              -              
33             8              36             -              26             18             5              -              16             -              -              -              -              -              -              -              
31             9              35             -              19             19             29             -              13             -              -              -              -              -              -              -              
42             11             36             -              24             8              24             -              20             -              -              -              -              -              -              -              
16             6              30             -              19             8              17             -              15             -              -              -              -              -              -              -              
14             10             33             -              14             14             31             -              15             -              -              -              -              -              -              -              
15             10             34             -              15             14             22             -              14             -              -              -              -              -              -              -              
11             11             27             -              23             19             12             -              13             -              -              -              -              -              -              -              
14             9              31             -              20             18             25             -              21             -              -              -              -              -              -              -              
14             -              25             -              27             15             26             -              16             -              -              -              -              -              -              -              
18             -              30             -              15             -              29             -              20             -              -              -              -              -              -              -              
13             -              33             -              11             -              27             -              21             -              -              -              -              -              -              -              
10             -              38             -              24             -              12             -              13             -              -              -              -              -              -              -              
9              -              37             -              26             -              3              -              30             -              -              -              -              -              -              -              
18             -              35             -              31             -              22             -              13             -              -              -              -              -              -              -              
13             -              38             -              24             -              8              -              25             -              -              -              -              -              -              -              
8              -              32             -              30             -              21             -              21             -              -              -              -              -              -              -              
11             -              31             -              24             -              -              -              26             -              -              -              -              -              -              -              
14             -              35             -              23             -              -              -              29             -              -              -              -              -              -              -              
17             -              30             -              8              -              -              -              20             -              -              -              -              -              -              -              
18             -              29             -              24             -              -              -              28             -              -              -              -              -              -              -              
14             -              30             -              12             -              -              -              21             -              -              -              -              -              -              -              
10             -              30             -              12             -              -              -              25             -              -              -              -              -              -              -              
12             -              33             -              21             -              -              -              26             -              -              -              -              -              -              -              
10             -              46             -              16             -              -              -              36             -              -              -              -              -              -              -              
22             -              36             -              14             -              -              -              27             -              -              -              -              -              -              -              
11             -              38             -              29             -              -              -              31             -              -              -              -              -              -              -              
6              -              33             -              18             -              -              -              18             -              -              -              -              -              -              -              
17             -              30             -              13             -              -              -              30             -              -              -              -              -              -              -              
15             -              34             -              17             -              -              -              -              -              -              -              -              -              -              -              
9              -              45             -              12             -              -              -              -              -              -              -              -              -              -              -              
12             -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
