H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
26             10             92             54             38             32             70             29             33             51             27             59             56             39             4              13             
6              12             79             52             25             33             61             -              36             -              22             -              -              39             -              12             
18             15             78             72             36             28             65             -              34             -              -              -              -              -              -              -              
25             11             77             73             24             32             67             -              45             -              -              -              -              -              -              -              
16             16             71             53             22             24             54             -              42             -              -              -              -              -              -              -              
15             17             75             -              33             20             33             -              45             -              -              -              -              -              -              -              
42             22             77             -              15             31             50             -              43             -              -              -              -              -              -              -              
15             17             68             -              19             27             37             -              44             -              -              -              -              -              -              -              
41             16             76             -              35             26             29             -              40             -              -              -              -              -              -              -              
36             13             72             -              27             28             56             -              38             -              -              -              -              -              -              -              
46             18             71             -              24             20             61             -              45             -              -              -              -              -              -              -              
23             9              72             -              24             15             44             -              39             -              -              -              -              -              -              -              
20             14             70             -              20             20             58             -              36             -              -              -              -              -              -              -              
15             15             69             -              21             19             55             -              39             -              -              -              -              -              -              -              
13             14             64             -              31             25             36             -              32             -              -              -              -              -              -              -              
18             22             66             -              26             29             58             -              45             -              -              -              -              -              -              -              
15             -              82             -              34             20             39             -              40             -              -              -              -              -              -              -              
21             -              68             -              18             -              60             -              44             -              -              -              -              -              -              -              
18             -              68             -              20             -              58             -              46             -              -              -              -              -              -              -              
14             -              71             -              32             -              48             -              39             -              -              -              -              -              -              -              
18             -              73             -              35             -              27             -              40             -              -              -              -              -              -              -              
27             -              69             -              37             -              62             -              46             -              -              -              -              -              -              -              
16             -              69             -              31             -              40             -              38             -              -              -              -              -              -              -              
11             -              57             -              39             -              52             -              32             -              -              -              -              -              -              -              
18             -              81             -              29             -              -              -              41             -              -              -              -              -              -              -              
18             -              67             -              28             -              -              -              42             -              -              -              -              -              -              -              
26             -              83             -              14             -              -              -              34             -              -              -              -              -              -              -              
20             -              76             -              27             -              -              -              45             -              -              -              -              -              -              -              
23             -              74             -              17             -              -              -              34             -              -              -              -              -              -              -              
14             -              83             -              14             -              -              -              32             -              -              -              -              -              -              -              
17             -              58             -              24             -              -              -              36             -              -              -              -              -              -              -              
16             -              93             -              21             -              -              -              43             -              -              -              -              -              -              -              
25             -              88             -              20             -              -              -              40             -              -              -              -              -              -              -              
19             -              84             -              37             -              -              -              42             -              -              -              -              -              -              -              
12             -              88             -              22             -              -              -              36             -              -              -              -              -              -              -              
23             -              57             -              23             -              -              -              36             -              -              -              -              -              -              -              
18             -              74             -              20             -              -              -              -              -              -              -              -              -              -              -              
9              -              90             -              21             -              -              -              -              -              -              -              -              -              -              -              
12             -              75             -              -              -              -              -              -              -              -              -              -              -              -              -              
19             -              86             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              75             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
31             -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
23             -              82             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              86             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              69             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              74             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              83             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              61             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              65             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
