H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
19             8              49             16             32             20             24             24             7              26             6              23             3              17             0              5              
4              8              48             19             18             20             15             -              9              -              6              -              -              17             -              3              
14             10             33             20             27             19             17             -              6              -              -              -              -              -              -              -              
16             8              40             24             20             20             24             -              14             -              -              -              -              -              -              -              
13             12             37             22             19             15             21             -              16             -              -              -              -              -              -              -              
12             12             37             -              27             13             8              -              17             -              -              -              -              -              -              -              
37             16             36             -              9              21             7              -              15             -              -              -              -              -              -              -              
11             9              34             -              16             17             6              -              12             -              -              -              -              -              -              -              
33             8              36             -              26             18             5              -              12             -              -              -              -              -              -              -              
31             9              35             -              19             19             26             -              9              -              -              -              -              -              -              -              
42             11             36             -              24             8              24             -              17             -              -              -              -              -              -              -              
16             6              30             -              19             8              16             -              12             -              -              -              -              -              -              -              
14             10             33             -              14             14             28             -              12             -              -              -              -              -              -              -              
13             10             34             -              15             14             21             -              13             -              -              -              -              -              -              -              
11             11             26             -              23             19             9              -              9              -              -              -              -              -              -              -              
14             9              31             -              20             18             24             -              18             -              -              -              -              -              -              -              
14             -              25             -              27             15             23             -              15             -              -              -              -              -              -              -              
18             -              30             -              15             -              27             -              16             -              -              -              -              -              -              -              
13             -              33             -              11             -              25             -              15             -              -              -              -              -              -              -              
10             -              38             -              24             -              12             -              13             -              -              -              -              -              -              -              
9              -              36             -              26             -              3              -              11             -              -              -              -              -              -              -              
15             -              35             -              31             -              22             -              13             -              -              -              -              -              -              -              
13             -              38             -              24             -              8              -              11             -              -              -              -              -              -              -              
8              -              32             -              30             -              21             -              6              -              -              -              -              -              -              -              
11             -              31             -              24             -              -              -              13             -              -              -              -              -              -              -              
14             -              35             -              23             -              -              -              12             -              -              -              -              -              -              -              
17             -              30             -              8              -              -              -              5              -              -              -              -              -              -              -              
18             -              29             -              24             -              -              -              14             -              -              -              -              -              -              -              
14             -              30             -              12             -              -              -              6              -              -              -              -              -              -              -              
10             -              30             -              12             -              -              -              8              -              -              -              -              -              -              -              
12             -              33             -              21             -              -              -              8              -              -              -              -              -              -              -              
10             -              46             -              16             -              -              -              16             -              -              -              -              -              -              -              
22             -              36             -              14             -              -              -              10             -              -              -              -              -              -              -              
11             -              38             -              29             -              -              -              12             -              -              -              -              -              -              -              
6              -              33             -              18             -              -              -              8              -              -              -              -              -              -              -              
17             -              30             -              13             -              -              -              10             -              -              -              -              -              -              -              
15             -              34             -              14             -              -              -              -              -              -              -              -              -              -              -              
9              -              45             -              12             -              -              -              -              -              -              -              -              -              -              -              
12             -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
