H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
47             15             122            68             49             37             76             37             46             53             35             63             59             55             11             25             
12             15             88             58             49             38             66             -              42             -              28             -              -              53             -              25             
35             18             102            81             44             33             69             -              42             -              -              -              -              -              -              -              
44             32             89             79             41             36             75             -              51             -              -              -              -              -              -              -              
42             36             80             63             45             25             57             -              52             -              -              -              -              -              -              -              
39             34             84             -              49             23             35             -              55             -              -              -              -              -              -              -              
48             39             85             -              42             35             53             -              52             -              -              -              -              -              -              -              
37             34             77             -              38             33             42             -              53             -              -              -              -              -              -              -              
47             32             86             -              44             28             31             -              51             -              -              -              -              -              -              -              
42             34             81             -              38             30             62             -              50             -              -              -              -              -              -              -              
50             28             80             -              57             31             73             -              55             -              -              -              -              -              -              -              
42             23             80             -              38             21             45             -              46             -              -              -              -              -              -              -              
42             28             76             -              40             37             67             -              43             -              -              -              -              -              -              -              
39             32             78             -              36             30             61             -              46             -              -              -              -              -              -              -              
22             20             80             -              39             34             42             -              42             -              -              -              -              -              -              -              
45             40             72             -              47             40             67             -              53             -              -              -              -              -              -              -              
23             -              88             -              56             31             42             -              46             -              -              -              -              -              -              -              
45             -              78             -              24             -              69             -              53             -              -              -              -              -              -              -              
33             -              76             -              45             -              63             -              59             -              -              -              -              -              -              -              
38             -              81             -              43             -              51             -              40             -              -              -              -              -              -              -              
27             -              82             -              43             -              30             -              69             -              -              -              -              -              -              -              
36             -              75             -              47             -              63             -              63             -              -              -              -              -              -              -              
38             -              72             -              44             -              40             -              58             -              -              -              -              -              -              -              
41             -              64             -              44             -              62             -              53             -              -              -              -              -              -              -              
34             -              93             -              43             -              -              -              60             -              -              -              -              -              -              -              
41             -              76             -              29             -              -              -              65             -              -              -              -              -              -              -              
38             -              95             -              26             -              -              -              57             -              -              -              -              -              -              -              
50             -              88             -              40             -              -              -              64             -              -              -              -              -              -              -              
58             -              86             -              30             -              -              -              57             -              -              -              -              -              -              -              
41             -              95             -              40             -              -              -              55             -              -              -              -              -              -              -              
41             -              63             -              24             -              -              -              61             -              -              -              -              -              -              -              
36             -              101            -              46             -              -              -              81             -              -              -              -              -              -              -              
34             -              97             -              37             -              -              -              66             -              -              -              -              -              -              -              
32             -              95             -              43             -              -              -              70             -              -              -              -              -              -              -              
42             -              100            -              33             -              -              -              54             -              -              -              -              -              -              -              
42             -              66             -              41             -              -              -              66             -              -              -              -              -              -              -              
35             -              84             -              41             -              -              -              -              -              -              -              -              -              -              -              
42             -              93             -              33             -              -              -              -              -              -              -              -              -              -              -              
44             -              84             -              -              -              -              -              -              -              -              -              -              -              -              -              
41             -              95             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              96             -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              80             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              101            -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              99             -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              
41             -              56             -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              65             -              -              -              -              -              -              -              -              -              -              -              -              -              
58             -              85             -              -              -              -              -              -              -              -              -              -              -              -              -              
56             -              85             -              -              -              -              -              -              -              -              -              -              -              -              -              
52             -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              82             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              104            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              95             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              69             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              86             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              99             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              110            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              71             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              81             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              92             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              73             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
